Marker,Time for Heart,Heart,Time for Pulse,Pulse,Time for Breath,Breath,Seconds,Radar Breath Rate
1,0:22,105,0:22,100,1:01,24,61.0,5.0
2,1:24,97,1:24,108,2:02,26,122.0,13.4
3,2:23,92,2:23,100,2:56,26,176.0,15.1
4,3:17,97,3:17,100,3:52,22,232.0,11.7
5,4:17,97,4:17,108,4:49,24,289.0,13.4
6,5:10,94,5:10,100,5:46,22,346.0,18.4
7,6:08,95,6:08,104,6:44,22,404.0,6.7
8,7:07,99,7:07,104,7:48,24,468.0,13.4
9,8:11,98,8:11,96,8:46,22,526.0,11.7
10,9:09,91,9:09,100,9:44,24,584.0,16.7
11,10:10,93,10:10,120,10:52,28,652.0,10.0
12,11:14,100,11:14,104,11:48,32,708.0,8.4
13,12:15,101,12:15,108,12:49,28,769.0,6.7
14,13:10,104,13:10,108,13:44,28,824.0,10.0
15,14:04,100,14:04,104,14:40,26,880.0,15.1
