Marker,Time for Heart,Heart,Time for Pulse,Pulse,Time for Breath,Breath,lean_direction,Start,End,Seconds,Radar Breath Rate
1,0:24,79,0:24,80,1:12,22,right,1:24,1:57,72.0,6.7
2,2:25,83,2:25,92,3:05,12,left,3:20,3:50,185.0,10.0
3,4:20,81,4:20,88,4:56,16,right,5:05,5:35,296.0,15.1
4,6:07,83,6:07,88,6:46,18,left,6:51,7:21,406.0,11.7
5,7:55,80,7:55,84,8:41,20,right,8:57,8:30,521.0,11.7
6,9:58,82,9:58,84,10:38,24,left,10:45,11:13,638.0,8.4
7,11:57,78,11:57,80,12:33,24,left,12:40,13:08,753.0,16.7
8,14:08,81,14:08,88,14:37,22,right,14:44,15:13,877.0,10.0
9,15:41,80,15:41,88,16:19,22,left,16:27,16:55,979.0,18.4
10,17:21,79,17:21,84,17:57,24,right,18:05,18:33,1077.0,13.4
11,18:57,78,18:57,80,19:33,24,left,19:38,20:08,1173.0,8.4
12,21:02,75,21:02,80,21:37,20,left,21:42,22:12,1297.0,8.4
13,22:47,76,22:47,76,23:02,20,right,23:08,23:38,1382.0,15.1
14,24:01,75,24:01,76,24:37,24,left,24:47,25:15,1477.0,15.1
15,25:25,81,25:25,92,26:04,20,left,26:14,26:44,1564.0,6.7
