Marker,Time for Heart,Heart,Time for Pulse,Pulse,Time for Breath,Breath,Seconds,Radar Breath Rate
1,1:54,103,1:54,88,3:34,28,214.0,11.7
2,4:07,104,4:07,100,4:47,22,287.0,10.0
3,5:11,98,5:11,96,5:50,22,350.0,8.4
4,6:15,100,6:15,104,6:52,20,412.0,8.4
5,7:19,106,7:19,88,7:55,20,475.0,15.1
6,8:21,108,8:21,108,8:58,20,538.0,11.7
7,9:30,106,9:30,92,10:07,20,607.0,5.0
8,10:32,96,10:32,84,11:15,22,675.0,8.4
9,11:40,108,11:40,88,12:20,22,740.0,11.7
10,13:13,80,13:13,80,13:53,26,833.0,6.7
11,14:13,78,14:13,76,14:49,26,889.0,10.0
12,15:13,80,15:13,88,15:47,26,947.0,15.1
13,16:30,79,16:30,80,17:05,24,1025.0,16.7
14,17:32,80,17:32,84,18:10,24,1090.0,13.4
15,18:37,80,18:37,80,19:16,24,1156.0,6.7
