Marker,Time for Heart,Heart,Time for Pulse,Pulse,Time for Breath,Breath,lean_direction,Start,End,Seconds,Radar Breath Rate
1,1:06,78,1:06,80,2:04,14,right,2:11,2:42,124.0,6.7
2,3:03,76,3:03,80,3:44,12,left,3:51,4:21,224.0,15.1
3,4:47,77,4:47,80,5:25,12,right,5:32,6:03,325.0,15.1
4,6:27,76,6:27,80,7:10,12,right,7:24,7:55,430.0,15.1
5,8:38,79,8:38,84,9:20,12,left,9:24,9:54,560.0,15.1
6,10:19,77,10:19,76,10:54,10,right,11:10,11:41,654.0,6.7
7,12:07,74,12:07,76,12:46,10,left,12:57,13:27,766.0,21.8
8,13:52,70,13:52,72,14:50,12,right,14:57,15:27,890.0,8.4
9,15:54,74,15:54,68,16:34,12,left,16:41,17:11,994.0,8.4
10,17:47,71,17:47,68,18:23,10,right,18:30,18:59,1103.0,16.7
11,20:11,69,20:11,68,20:48,10,left,20:55,21:25,1248.0,15.1
12,21:53,71,21:53,68,23:33,10,right,23:40,24:10,1413.0,13.4
13,24:48,73,24:48,76,25:28,10,right,25:37,26:04,1528.0,18.4
14,26:30,70,26:30,68,27:03,10,right,27:07,27:38,1623.0,13.4
15,28:08,70,28:08,68,28:44,12,right,28:49,29:19,1724.0,11.7
