Marker,Time for Heart,Heart,Time for Pulse,Pulse,Time for Breath,Breath,Seconds,Radar Breath Rate
1,0:22,101,0:22,84,1:11,14,71.0,11.7
2,1:36,96,1:36,92,2:19,14,139.0,13.4
3,2:41,101,2:41,96,3:31,12,211.0,13.4
4,4:29,95,4:29,88,5:17,16,317.0,10.0
5,5:38,103,5:38,92,6:20,14,380.0,13.4
6,6:57,103,6:57,92,7:41,14,461.0,11.7
7,8:01,101,8:01,96,8:49,14,529.0,6.7
8,9:11,100,9:11,76,10:07,18,607.0,20.1
9,10:24,101,10:24,80,11:05,14,665.0,15.1
10,11:25,97,11:25,64,12:08,12,728.0,6.7
11,12:30,95,12:30,92,13:12,14,792.0,13.4
12,13:32,98,13:32,96,14:13,16,853.0,11.7
13,14:35,97,14:35,100,15:16,14,916.0,8.4
14,15:41,93,15:41,68,16:21,12,981.0,16.7
15,16:42,92,16:42,84,17:20,16,1040.0,15.1
