Marker,Time for Heart,Heart,Time for Pulse,Pulse,Time for Breath,Breath,Seconds,Radar Breath Rate
1,0:54,98,0:54,96,2:24,30,144.0,16.7
2,2:51,100,2:51,92,3:35,30,215.0,13.4
3,3:58,100,3:58,88,4:46,30,286.0,8.4
4,5:10,95,5:10,48,5:52,32,352.0,8.4
5,6:24,90,6:24,96,7:02,32,422.0,13.4
6,7:29,101,7:29,96,8:02,34,482.0,16.7
7,8:25,95,8:25,92,9:00,30,540.0,11.7
8,9:25,103,9:25,96,9:59,36,599.0,11.7
9,10:25,93,10:25,104,16:18,36,978.0,13.4
10,16:56,96,16:56,96,17:36,32,1056.0,8.4
11,18:07,101,18:07,100,18:43,38,1123.0,6.7
12,19:27,100,19:27,96,20:02,38,1202.0,13.4
13,20:30,97,20:30,96,21:05,36,1265.0,8.4
14,21:29,102,21:29,88,22:18,36,1338.0,18.4
15,22:56,96,22:56,104,23:38,36,1418.0,16.7
