Marker,Time for Heart,Heart,Time for Pulse,Pulse,Time for Breath,Breath,Seconds,Radar Breath Rate
1,0:46,84,0:46,80,1:30,22,90.0,13.4
2,1:58,91,1:58,92,2:41,24,161.0,16.7
3,3:12,81,3:12,88,4:00,26,240.0,11.7
4,4:31,88,4:31,80,5:11,30,311.0,10.0
5,5:35,85,5:35,88,6:24,30,384.0,20.1
6,6:51,91,6:51,96,7:36,30,456.0,10.0
7,8:05,83,8:05,84,8:49,32,529.0,16.7
8,9:45,90,9:45,92,10:30,32,630.0,16.7
9,10:57,88,10:57,76,11:40,36,700.0,6.7
10,12:04,88,12:04,76,12:45,34,765.0,6.7
11,13:09,90,13:09,92,13:53,30,833.0,15.1
12,14:17,94,14:17,96,14:57,34,897.0,20.1
13,15:29,86,15:29,84,16:06,34,966.0,6.7
14,16:31,87,16:31,84,17:14,32,1034.0,11.7
15,17:41,82,17:41,80,18:27,34,1107.0,13.4
