Marker,Time for Heart,Heart,Time for Pulse,Pulse,Time for Breath,Breath,Seconds,Radar Breath Rate
1,0:20,100,0:20,100,0:52,24,52.0,16.7
2,1:13,102,1:13,100,1:48,28,108.0,10.0
3,2:08,108,2:08,112,2:41,24,161.0,10.0
4,3:02,87,3:02,96,3:34,26,214.0,18.4
5,3:55,101,3:55,104,4:28,26,268.0,16.7
6,4:45,98,4:45,100,5:23,26,323.0,8.4
7,5:44,99,5:44,108,6:18,26,378.0,13.4
8,6:41,95,6:41,100,7:15,24,435.0,6.7
9,7:35,97,7:35,100,8:08,24,488.0,8.4
10,8:30,98,8:30,100,9:04,24,544.0,10.0
11,9:26,91,9:26,100,10:00,24,600.0,10.0
12,10:21,95,10:21,104,10:55,24,655.0,8.4
13,11:16,97,11:16,104,11:50,24,710.0,16.7
14,12:12,101,12:12,104,12:45,22,765.0,8.4
15,13:08,93,13:08,88,13:45,24,825.0,8.4
