Marker,Time for Heart,Heart,Time for Pulse,Pulse,Time for Breath,Breath,Seconds,Radar Breath Rate
1,32,80,32,84,1:11,24,71.0,15.1
2,1:37,84,1:37,88,2:12,22,132.0,20.1
3,2:39,90,2:39,72,3:12,24,192.0,11.7
4,3:36,87,3:36,88,4:11,22,251.0,15.1
5,4:33,87,4:33,84,5:08,22,308.0,6.7
6,5:35,88,5:35,88,6:11,22,371.0,13.4
7,6:34,86,6:34,88,7:08,24,428.0,11.7
8,7:38,86,7:38,100,8:13,24,493.0,6.7
9,8:38,88,8:38,88,9:11,24,551.0,5.0
10,9:36,87,9:36,80,10:12,22,612.0,13.4
11,10:34,90,10:34,88,10:09,22,609.0,8.4
12,11:32,91,11:32,84,12:06,22,726.0,15.1
13,12:33,86,12:33,92,13:07,22,787.0,16.7
14,13:33,87,13:33,84,14:09,24,849.0,11.7
15,14:33,85,14:33,84,15:07,20,907.0,8.4
