Marker,Time for Heart,Heart,Time for Pulse,Pulse,Time for Breath,Breath,Seconds,Radar Breath Rate
1,0:27,72,0:27,76,1:07,12,67.0,16.7
2,1:35,78,1:35,80,2:17,12,137.0,20.1
3,2:42,80,2:42,76,3:20,12,200.0,6.7
4,3:42,80,3:42,80,4:31,12,271.0,6.7
5,5:13,75,5:13,80,5:52,12,352.0,6.7
6,6:21,76,6:21,76,7:01,12,421.0,10.0
7,7:40,72,7:40,76,8:16,12,496.0,8.4
8,8:43,76,8:43,72,9:24,12,564.0,16.7
9,9:50,78,9:50,80,10:26,12,626.0,10.0
10,10:55,76,10:55,80,11:30,14,690.0,8.4
11,11:54,78,11:54,72,12:30,12,750.0,6.7
12,13:03,78,13:03,84,13:45,10,825.0,15.1
13,14:13,73,14:13,72,14:54,14,894.0,15.1
14,15:17,78,15:17,80,15:53,14,953.0,18.4
15,16:24,78,16:24,80,16:59,12,1019.0,16.7
