Marker,Time for Heart,Heart,Time for Pulse,Pulse,Time for Breath,Breath,Seconds,Radar Breath Rate
1,0:38,85,0:38,64,1:15,16,75.0,5.0
2,1:37,87,1:37,84,2:16,16,136.0,8.4
3,2:37,86,2:37,84,3:25,18,205.0,5.0
4,3:47,86,3:47,84,4:25,16,265.0,11.7
5,4:46,89,4:46,88,5:23,14,323.0,8.4
6,5:44,82,5:44,76,6:21,14,381.0,13.4
7,6:43,86,6:43,76,7:18,16,438.0,6.7
8,7:43,87,7:43,88,8:18,14,498.0,16.7
9,8:39,83,8:39,84,9:21,18,561.0,5.0
10,9:56,89,9:56,84,10:33,16,633.0,11.7
11,11:07,81,11:07,80,11:43,14,703.0,8.4
12,12:05,90,12:05,80,12:42,16,762.0,8.4
13,13:03,88,13:03,80,13:39,16,819.0,8.4
14,13:59,83,13:59,80,14:53,16,893.0,13.4
15,15:15,86,15:15,80,15:53,18,953.0,13.4
