Marker,Time for Heart,Heart,Time for Pulse,Pulse,Time for Breath,Breath,Seconds,Radar Breath Rate
1,0:29,81,0:29,80,1:09,32,69.0,15.1
2,1:32,81,1:32,56,2:30,46,150.0,15.1
3,3:02,89,3:02,80,3:36,50,216.0,8.4
4,4:04,90,4:04,76,4:40,48,280.0,13.4
5,5:05,86,5:05,64,5:39,46,339.0,8.4
6,6:03,81,6:03,72,6:40,56,400.0,15.1
7,7:25,98,7:25,76,8:00,72,480.0,8.4
8,8:28,93,8:28,88,9:04,44,544.0,8.4
9,9:33,93,9:33,84,10:10,54,610.0,6.7
10,10:53,89,10:53,88,11:28,36,688.0,6.7
11,13:26,82,13:26,80,14:01,36,841.0,10.0
12,14:23,90,14:23,96,14:57,12,897.0,6.7
13,15:24,82,15:24,88,16:00,28,960.0,18.4
14,16:24,84,16:24,76,17:00,28,1020.0,11.7
15,17:23,78,17:23,80,17:57,20,1077.0,11.7
