Marker,Time for Heart,Heart,Time for Pulse,Pulse,Time for Breath,Breath,lean_direction,Start,End,Seconds,Radar Breath Rate
1,1:55,71,1:55,72,2:36,34,left,2:43,3:14,156.0,13.4
2,3:39,79,3:39,80,4:19,38,left,4:30,5:02,259.0,11.7
3,5:28,79,5:28,80,6:11,40,right,6:21,6:50,371.0,8.4
4,7:14,77,7:14,76,7:55,36,right,8:08,8:37,475.0,15.1
5,9:06,78,9:06,80,9:48,34,left,10:06,10:34,588.0,18.4
6,11:00,80,11:00,80,11:40,34,left,11:49,12:20,700.0,11.7
7,13:10,82,13:10,84,14:00,36,left,14:13,14:43,840.0,6.7
8,16:15,74,16:15,76,17:10,38,left,17:22,17:53,1030.0,6.7
9,18:22,85,18:22,84,19:05,36,right,19:17,19:47,1145.0,16.7
10,20:16,78,20:16,80,20:58,34,left,21:09,21:36,1258.0,8.4
11,22:01,78,22:01,80,22:45,38,left,22:59,23:29,1365.0,8.4
12,23:55,76,23:55,74,24:45,40,left,24:56,25:25,1485.0,11.7
13,26:14,78,26:14,80,26:58,36,right,27:12,27:42,1618.0,11.7
14,28:10,83,28:10,84,28:53,34,right,29:02,29:32,1733.0,11.7
15,30:11,75,30:11,76,31:00,36,right,31:10,31:39,1860.0,15.1
