Marker,Time for Heart,Heart,Time for Pulse,Pulse,Time for Breath,Breath,Seconds,Radar Breath Rate
1,0:36,80,0:36,80,1:39,38,99.0,13.4
2,2:20,82,2:20,84,3:08,36,188.0,15.1
3,3:38,78,3:38,80,4:20,42,260.0,21.8
4,4:54,82,4:54,80,5:40,38,340.0,10.0
5,6:08,77,6:08,80,7:02,34,422.0,6.7
6,7:59,77,7:59,76,8:40,36,520.0,6.7
7,9:09,76,9:09,74,9:49,38,589.0,13.4
8,10:13,82,10:13,85,11:03,36,663.0,16.7
9,11:09,82,11:09,84,12:18,34,738.0,10.0
10,12:46,81,12:46,80,13:27,38,807.0,13.4
11,13:54,77,13:54,80,14:34,34,874.0,8.4
12,15:00,83,15:00,84,15:40,36,940.0,10.0
13,16:09,81,16:09,84,16:51,36,1011.0,18.4
14,17:14,82,17:14,80,18:02,36,1082.0,8.4
15,18:27,80,18:27,80,19:12,38,1152.0,8.4
