Mark,Type,Timestamp,Start,End,Direction
1,pulse,00.29,00.00.290,00.29,
1,pulse,00.30,00.00.300,00.30,
1,pulse,00.31,00.00.310,00.31,
1,pulse,00.32,00.00.320,00.32,
1,pulse,00.33,00.00.330,00.33,
1,pulse,00.34,00.00.340,00.34,
1,pulse,00.35,00.00.350,00.35,
1,pulse,00.36,00.00.360,00.36,
1,pulse,00.39,00.00.390,00.39,
1,pulse,00.40,00.00.400,00.40,
1,pulse,00.41,00.00.410,00.41,
1,breath,00.57,00.00.570,00.57,
1,breath,01.00,00.00.570,01.00,
1,breath,01.02,00.00.570,01.02,
1,breath,01.04,00.00.570,01.04,
1,breath,01.07,00.00.570,01.07,
1,breath,01.10,00.00.570,01.10,
1,breath,01.12,00.00.570,01.12,
1,breath,01.15,00.00.570,01.15,
1,breath,01.18,00.00.570,01.18,
1,breath,01.20,00.00.570,01.20,
2,pulse,01.35,01.00.350,01.35,
2,pulse,01.36,01.00.350,01.36,
2,pulse,01.36,01.00.350,01.36,
2,pulse,01.38,01.00.350,01.38,
2,pulse,01.47,01.00.350,01.47,
2,pulse,01.48,01.00.350,01.48,
2,pulse,01.48,01.00.350,01.48,
2,pulse,01.50,01.00.350,01.50,
2,pulse,01.51,01.00.350,01.51,
2,pulse,01.52,01.00.350,01.52,
2,pulse,01.54,01.00.350,01.54,
2,pulse,01.55,01.00.350,01.55,
2,pulse,01.56,01.00.350,01.56,
2,pulse,01.58,01.00.350,01.58,
2,breath,02.02,02.00.020,02.02,
2,breath,02.04,02.00.020,02.04,
2,breath,02.06,02.00.020,02.06,
2,breath,02.08,02.00.020,02.08,
2,breath,02.11,02.00.020,02.11,
2,breath,02.13,02.00.020,02.13,
2,breath,02.16,02.00.020,02.16,
2,breath,02.18,02.00.020,02.18,
2,breath,02.21,02.00.020,02.21,
2,breath,02.23,02.00.020,02.23,
3,pulse,03.53,03.00.530,03.53,
3,pulse,03.54,03.00.530,03.54,
3,pulse,03.56,03.00.530,03.56,
3,pulse,03.58,03.00.530,03.58,
3,pulse,04.00,03.00.530,04.00,
3,pulse,04.02,03.00.530,04.02,
3,pulse,04.05,03.00.530,04.05,
3,pulse,04.07,03.00.530,04.07,
3,pulse,04.10,03.00.530,04.10,
3,pulse,04.13,03.00.530,04.13,
3,breath,04.18,04.00.180,04.18,
3,breath,04.21,04.00.180,04.21,
3,breath,04.23,04.00.180,04.23,
3,breath,04.25,04.00.180,04.25,
3,breath,04.28,04.00.180,04.28,
3,breath,04.30,04.00.180,04.30,
3,breath,04.33,04.00.180,04.33,
