Marker,Time for Heart,Heart,Time for Pulse,Pulse,Time for Breath,Breath
1,1:54,103,1:54,88,3:34,28
2,4:07,104,4:07,100,4:47,22
3,5:11,98,5:11,96,5:50,22
4,6:15,100,6:15,104,6:52,20
5,7:19,106,7:19,88,7:55,20
6,8:21,108,8:21,108,8:58,20
7,9:30,106,9:30,92,10:07,20
8,10:32,96,10:32,84,11:15,22
9,11:40,108,11:40,88,12:20,22
10,13:04,99,13:04,68,13:41,22
11,14:05,101,14:05,60,14:44,26
12,15:44,98,15:44,60,16:20,22
13,16:47,99,16:47,64,17:24,24
14,17:49,104,17:49,80,18:25,22
15,18:55,99,18:55,112,19:36,22
