Marker,Time for Heart,Heart,Time for Pulse,Pulse,Time for Breath,Breath,lean_direction,Start,End
1,1:06,78,1:06,80,2:04,14,right,2:11,2:42
2,3:03,76,3:03,80,3:44,12,left,3:51,4:21
3,4:47,77,4:47,80,5:25,12,right,5:32,6:03
4,6:27,76,6:27,80,7:10,12,right,7:24,7:55
5,8:38,79,8:38,84,9:20,12,left,9:24,9:54
6,10:19,77,10:19,76,10:54,10,right,11:10,11:41
7,12:07,74,12:07,76,12:46,10,left,12:57,13:27
8,13:52,70,13:52,72,14:50,12,right,14:57,15:27
9,15:54,74,15:54,68,16:34,12,left,16:41,17:11
10,17:47,71,17:47,68,18:23,10,right,18:30,18:59
11,20:11,69,20:11,68,20:48,10,left,20:55,21:25
12,21:53,71,21:53,68,23:33,10,right,23:40,24:10
13,24:48,73,24:48,76,25:28,10,right,25:37,26:04
14,26:30,70,26:30,68,27:03,10,right,27:07,27:38
15,28:08,70,28:08,68,28:44,12,right,28:49,29:19
