Mark,Type,Timestamp,Start,End
1,pulse,0.08,0.08,0.25
1,pulse,0.1,0.08,0.25
1,pulse,0.12,0.08,0.25
1,pulse,0.14,0.08,0.25
1,pulse,0.16,0.08,0.25
1,pulse,0.18,0.08,0.25
1,pulse,0.19,0.08,0.25
1,pulse,0.22,0.08,0.25
1,pulse,0.23,0.08,0.25
1,pulse,0.25,0.08,0.25
1,breath,0.3,0.3,0.58
1,breath,0.34,0.3,0.58
1,breath,0.36,0.3,0.58
1,breath,0.4,0.3,0.58
1,breath,0.43,0.3,0.58
1,breath,0.45,0.3,0.58
1,breath,0.49,0.3,0.58
1,breath,0.51,0.3,0.58
1,breath,0.55,0.3,0.58
1,breath,0.58,0.3,0.58
2,pulse,1.05,1.05,1.21
2,pulse,1.06,1.05,1.21
2,pulse,1.07,1.05,1.21
2,pulse,1.08,1.05,1.21
2,pulse,1.09,1.05,1.21
2,pulse,1.1,1.05,1.21
2,pulse,1.12,1.05,1.21
2,pulse,1.13,1.05,1.21
2,pulse,1.14,1.05,1.21
2,pulse,1.16,1.05,1.21
2,pulse,1.17,1.05,1.21
2,pulse,1.18,1.05,1.21
2,pulse,1.2,1.05,1.21
2,pulse,1.21,1.05,1.21
2,breath,1.26,1.26,1.5
2,breath,1.29,1.26,1.5
2,breath,1.32,1.26,1.5
2,breath,1.35,1.26,1.5
2,breath,1.38,1.26,1.5
2,breath,1.41,1.26,1.5
2,breath,1.44,1.26,1.5
2,breath,1.47,1.26,1.5
2,breath,1.5,1.26,1.5
3,pulse,1.57,1.57,2.14
3,pulse,1.59,1.57,2.14
3,pulse,2.01,1.57,2.14
3,pulse,2.03,1.57,2.14
3,pulse,2.04,1.57,2.14
3,pulse,2.06,1.57,2.14
3,pulse,2.08,1.57,2.14
3,pulse,2.09,1.57,2.14
3,pulse,2.11,1.57,2.14
3,pulse,2.13,1.57,2.14
3,pulse,2.14,1.57,2.14
3,breath,2.2,2.2,2.44
3,breath,2.23,2.2,2.44
3,breath,2.27,2.2,2.44
3,breath,2.3,2.2,2.44
3,breath,2.34,2.2,2.44
3,breath,2.37,2.2,2.44
3,breath,2.4,2.2,2.44
3,breath,2.44,2.2,2.44
4,pulse,2.51,2.51,3.24
4,pulse,2.53,2.51,3.24
4,pulse,2.54,2.51,3.24
4,pulse,2.55,2.51,3.24
4,pulse,2.56,2.51,3.24
4,pulse,2.58,2.51,3.24
4,pulse,2.59,2.51,3.24
4,pulse,3.01,2.51,3.24
4,pulse,3.03,2.51,3.24
4,pulse,3.04,2.51,3.24
4,pulse,3.06,2.51,3.24
4,pulse,3.15,2.51,3.24
4,pulse,3.18,2.51,3.24
4,pulse,3.21,2.51,3.24
4,pulse,3.24,2.51,3.24
4,breath,3.11,3.11,3.3
4,breath,3.15,3.11,3.3
4,breath,3.18,3.11,3.3
4,breath,3.27,3.11,3.3
4,breath,3.3,3.11,3.3
4,breath,3.33,3.11,3.3
4,breath,3.35,3.11,3.3
5,pulse,3.49,3.49,4.09
5,pulse,3.51,3.49,4.09
5,pulse,3.52,3.49,4.09
5,pulse,3.54,3.49,4.09
5,pulse,3.56,3.49,4.09
5,pulse,3.57,3.49,4.09
5,pulse,3.59,3.49,4.09
5,pulse,4,3.49,4.09
5,pulse,4.01,3.49,4.09
5,pulse,4.03,3.49,4.09
5,pulse,4.04,3.49,4.09
5,pulse,4.06,3.49,4.09
5,pulse,4.07,3.49,4.09
5,pulse,4.09,3.49,4.09
5,breath,4.13,4.13,4.32
5,breath,4.16,4.13,4.32
5,breath,4.2,4.13,4.32
5,breath,4.23,4.13,4.32
5,breath,4.26,4.13,4.32
5,breath,4.29,4.13,4.32
5,breath,4.32,4.13,4.32
6,pulse,4.43,4.43,5.11
6,pulse,4.45,4.43,5.11
6,pulse,4.46,4.43,5.11
6,pulse,4.48,4.43,5.11
6,pulse,4.5,4.43,5.11
6,pulse,4.51,4.43,5.11
6,pulse,4.54,4.43,5.11
6,pulse,4.55,4.43,5.11
6,pulse,4.57,4.43,5.11
6,pulse,4.59,4.43,5.11
6,pulse,5,4.43,5.11
6,pulse,5.02,4.43,5.11
6,pulse,5.04,4.43,5.11
6,pulse,5.11,4.43,5.11
6,breath,5.06,5.06,5.19
6,breath,5.09,5.06,5.19
