Mark,Type,Timestamp,Start,End,Direction
1,pulse,0.2,0.2,0.29,
1,pulse,0.2,0.2,0.29,
1,pulse,0.21,0.2,0.29,
1,pulse,0.21,0.2,0.29,
1,pulse,0.22,0.2,0.29,
1,pulse,0.22,0.2,0.29,
1,pulse,0.23,0.2,0.29,
1,pulse,0.23,0.2,0.29,
1,pulse,0.24,0.2,0.29,
1,pulse,0.24,0.2,0.29,
1,pulse,0.25,0.2,0.29,
1,pulse,0.25,0.2,0.29,
1,pulse,0.26,0.2,0.29,
1,pulse,0.26,0.2,0.29,
1,pulse,0.27,0.2,0.29,
1,pulse,0.27,0.2,0.29,
1,pulse,0.28,0.2,0.29,
1,pulse,0.28,0.2,0.29,
1,pulse,0.29,0.2,0.29,
1,pulse,0.29,0.2,0.29,
1,breath,0.35,0.35,0.53,
1,breath,0.38,0.35,0.53,
1,breath,0.41,0.35,0.53,
1,breath,0.44,0.35,0.53,
1,breath,0.46,0.35,0.53,
1,breath,0.5,0.35,0.53,
1,breath,0.53,0.35,0.53,
1,lean,0.57,0.57,1.07,right
2,pulse,1.1,1.1,1.29,
2,pulse,1.1,1.1,1.29,
2,pulse,1.11,1.1,1.29,
2,pulse,1.11,1.1,1.29,
2,pulse,1.12,1.1,1.29,
2,pulse,1.12,1.1,1.29,
2,pulse,1.13,1.1,1.29,
2,pulse,1.13,1.1,1.29,
2,pulse,1.14,1.1,1.29,
2,pulse,1.14,1.1,1.29,
2,pulse,1.15,1.1,1.29,
2,pulse,1.15,1.1,1.29,
2,pulse,1.16,1.1,1.29,
2,pulse,1.16,1.1,1.29,
2,pulse,1.17,1.1,1.29,
2,pulse,1.17,1.1,1.29,
2,pulse,1.18,1.1,1.29,
2,pulse,1.18,1.1,1.29,
2,pulse,1.19,1.1,1.29,
2,pulse,1.19,1.1,1.29,
2,pulse,1.2,1.1,1.29,
2,pulse,1.2,1.1,1.29,
2,pulse,1.29,1.1,1.29,
2,pulse,1.29,1.1,1.29,
2,breath,1.33,1.33,1.54,
2,breath,1.37,1.33,1.54,
2,breath,1.4,1.33,1.54,
2,breath,1.44,1.33,1.54,
2,breath,1.47,1.33,1.54,
2,breath,1.51,1.33,1.54,
2,breath,1.54,1.33,1.54,
2,lean,1.59,1.59,2.16,right
3,pulse,2.3,2.3,2.43,
3,pulse,2.3,2.3,2.43,
3,pulse,2.34,2.3,2.43,
3,pulse,2.34,2.3,2.43,
3,pulse,2.35,2.3,2.43,
3,pulse,2.35,2.3,2.43,
3,pulse,2.36,2.3,2.43,
3,pulse,2.36,2.3,2.43,
3,pulse,2.37,2.3,2.43,
3,pulse,2.37,2.3,2.43,
3,pulse,2.38,2.3,2.43,
3,pulse,2.38,2.3,2.43,
3,pulse,2.39,2.3,2.43,
3,pulse,2.39,2.3,2.43,
3,pulse,2.4,2.3,2.43,
3,pulse,2.4,2.3,2.43,
3,pulse,2.41,2.3,2.43,
3,pulse,2.41,2.3,2.43,
3,pulse,2.42,2.3,2.43,
3,pulse,2.42,2.3,2.43,
3,pulse,2.43,2.3,2.43,
3,pulse,2.43,2.3,2.43,
3,breath,2.46,2.46,3.04,
3,breath,2.48,2.46,3.04,
3,breath,2.51,2.46,3.04,
3,breath,2.54,2.46,3.04,
3,breath,2.59,2.46,3.04,
3,breath,3.01,2.46,3.04,
3,breath,3.04,2.46,3.04,
3,lean,3.08,3.08,3.2,right
4,pulse,3.26,3.26,3.4,
4,pulse,3.26,3.26,3.4,
4,pulse,3.28,3.26,3.4,
4,pulse,3.28,3.26,3.4,
4,pulse,3.29,3.26,3.4,
4,pulse,3.29,3.26,3.4,
4,pulse,3.3,3.26,3.4,
4,pulse,3.3,3.26,3.4,
4,pulse,3.31,3.26,3.4,
4,pulse,3.31,3.26,3.4,
4,pulse,3.32,3.26,3.4,
4,pulse,3.32,3.26,3.4,
4,pulse,3.33,3.26,3.4,
4,pulse,3.33,3.26,3.4,
4,pulse,3.34,3.26,3.4,
4,pulse,3.34,3.26,3.4,
4,pulse,3.35,3.26,3.4,
4,pulse,3.35,3.26,3.4,
4,pulse,3.36,3.26,3.4,
4,pulse,3.36,3.26,3.4,
4,pulse,3.37,3.26,3.4,
4,pulse,3.37,3.26,3.4,
4,pulse,3.38,3.26,3.4,
4,pulse,3.38,3.26,3.4,
4,pulse,3.39,3.26,3.4,
4,pulse,3.39,3.26,3.4,
4,pulse,3.4,3.26,3.4,
4,pulse,3.4,3.26,3.4,
4,breath,3.44,3.44,3.57,
4,breath,3.46,3.44,3.57,
4,breath,3.49,3.44,3.57,
4,breath,3.52,3.44,3.57,
4,breath,3.55,3.44,3.57,
4,breath,3.57,3.44,3.57,
4,lean,4.02,4.02,4.13,right
5,pulse,4.13,4.13,4.32,
