Mark,Type,Timestamp,Start,End,Direction
1,pulse,00.01,00.01,00.01,
1,pulse,00.02,00.01,00.02,
1,pulse,00.04,00.01,00.04,
1,pulse,00.06,00.01,00.06,
1,pulse,00.08,00.01,00.08,
1,pulse,00.09,00.01,00.09,
1,pulse,00.12,00.01,00.12,
1,pulse,00.14,00.01,00.14,
1,pulse,00.16,00.01,00.16,
1,pulse,00.18,00.01,00.18,
1,breath,00.23,00.23,00.23,
1,breath,00.25,00.23,00.25,
1,breath,00.28,00.23,00.28,
1,breath,00.30,00.23,00.30,
1,breath,00.32,00.23,00.32,
1,breath,00.34,00.23,00.34,
1,breath,00.37,00.23,00.37,
1,breath,00.39,00.23,00.39,
1,breath,00.41,00.23,00.41,
1,breath,00.43,00.23,00.43,
1,lean,00.45,00.45,00.56,right
2,pulse,01.24,01.24,01.24,
2,pulse,01.26,01.24,01.26,
2,pulse,01.27,01.24,01.27,
2,pulse,01.29,01.24,01.29,
2,pulse,01.31,01.24,01.31,
2,pulse,01.33,01.24,01.33,
2,pulse,01.35,01.24,01.35,
2,pulse,01.37,01.24,01.37,
2,pulse,01.38,01.24,01.38,
2,pulse,01.40,01.24,01.40,
2,breath,01.44,01.44,01.44,
2,breath,01.46,01.44,01.46,
2,breath,01.48,01.44,01.48,
2,breath,01.50,01.44,01.50,
2,breath,01.52,01.44,01.52,
2,breath,01.54,01.44,01.54,
2,breath,01.57,01.44,01.57,
2,breath,01.59,01.44,01.59,
2,breath,02.02,01.44,02.02,
2,breath,02.04,01.44,02.04,
2,lean,02.05,02.05,02.16,right
3,pulse,02.29,02.29,02.29,
3,pulse,02.30,02.29,02.30,
3,pulse,02.32,02.29,02.32,
3,pulse,02.33,02.29,02.33,
3,pulse,02.34,02.29,02.34,
3,pulse,02.35,02.29,02.35,
3,pulse,02.37,02.29,02.37,
3,pulse,02.38,02.29,02.38,
3,pulse,02.39,02.29,02.39,
3,pulse,02.41,02.29,02.41,
3,breath,02.44,02.44,02.44,
3,breath,02.47,02.44,02.47,
3,breath,02.49,02.44,02.49,
3,breath,02.51,02.44,02.51,
3,breath,02.53,02.44,02.53,
3,breath,02.55,02.44,02.55,
3,breath,02.58,02.44,02.58,
3,breath,03.00,02.44,03.00,
3,breath,03.02,02.44,03.02,
3,breath,03.04,02.44,03.04,
3,lean,03.06,03.06,03.16,right
4,pulse,03.28,03.28,03.28,
4,pulse,03.29,03.28,03.29,
4,pulse,03.31,03.28,03.31,
4,pulse,03.32,03.28,03.32,
4,pulse,03.34,03.28,03.34,
4,pulse,03.36,03.28,03.36,
4,pulse,03.39,03.28,03.39,
4,pulse,03.41,03.28,03.41,
4,pulse,03.43,03.28,03.43,
4,pulse,03.45,03.28,03.45,
4,breath,03.48,03.48,03.48,
4,breath,03.50,03.48,03.50,
4,breath,03.52,03.48,03.52,
4,breath,03.54,03.48,03.54,
4,breath,03.57,03.48,03.57,
4,breath,03.59,03.48,03.59,
4,breath,04.01,03.48,04.01,
4,breath,04.03,03.48,04.03,
4,breath,04.06,03.48,04.06,
4,breath,04.08,03.48,04.08,
4,lean,04.10,04.10,04.20,left
5,pulse,04.31,04.31,04.31,
5,pulse,04.32,04.31,04.32,
5,pulse,04.34,04.31,04.34,
5,pulse,04.36,04.31,04.36,
5,pulse,04.38,04.31,04.38,
5,pulse,04.40,04.31,04.40,
