Mark,Type,Timestamp,Start,End,Direction
1,pulse,0.14,0.14,0.38,
1,pulse,0.16,0.14,0.38,
1,pulse,0.18,0.14,0.38,
1,pulse,0.19,0.14,0.38,
1,pulse,0.21,0.14,0.38,
1,pulse,0.23,0.14,0.38,
1,pulse,0.26,0.14,0.38,
1,pulse,0.29,0.14,0.38,
1,pulse,0.3,0.14,0.38,
1,pulse,0.33,0.14,0.38,
1,pulse,0.36,0.14,0.38,
1,pulse,0.38,0.14,0.38,
1,breath,0.46,0.46,1.2,
1,breath,0.5,0.46,1.2,
1,breath,0.54,0.46,1.2,
1,breath,0.59,0.46,1.2,
1,breath,1.02,0.46,1.2,
1,breath,1.06,0.46,1.2,
1,breath,1.09,0.46,1.2,
1,breath,1.13,0.46,1.2,
1,breath,1.16,0.46,1.2,
1,breath,1.2,0.46,1.2,
1,lean,1.26,1.26,1.56,left
2,pulse,2.08,2.08,2.38,
2,pulse,2.1,2.08,2.38,
2,pulse,2.13,2.08,2.38,
2,pulse,2.15,2.08,2.38,
2,pulse,2.17,2.08,2.38,
2,pulse,2.19,2.08,2.38,
2,pulse,2.22,2.08,2.38,
2,pulse,2.24,2.08,2.38,
2,pulse,2.26,2.08,2.38,
2,pulse,2.29,2.08,2.38,
2,pulse,2.31,2.08,2.38,
2,pulse,2.33,2.08,2.38,
2,pulse,2.36,2.08,2.38,
2,pulse,2.38,2.08,2.38,
2,breath,2.44,2.44,3.1,
2,breath,2.48,2.44,3.1,
2,breath,2.53,2.44,3.1,
2,breath,2.56,2.44,3.1,
2,breath,3,2.44,3.1,
2,breath,3.04,2.44,3.1,
2,breath,3.07,2.44,3.1,
2,breath,3.1,2.44,3.1,
2,lean,3.16,3.16,3.48,left
3,pulse,3.56,3.56,4.19,
3,pulse,3.59,3.56,4.19,
3,pulse,4.03,3.56,4.19,
3,pulse,4.04,3.56,4.19,
3,pulse,4.07,3.56,4.19,
3,pulse,4.1,3.56,4.19,
3,pulse,4.13,3.56,4.19,
3,pulse,4.16,3.56,4.19,
3,pulse,4.19,3.56,4.19,
3,breath,4.24,4.24,4.56,
3,breath,4.28,4.24,4.56,
3,breath,4.32,4.24,4.56,
3,breath,4.36,4.24,4.56,
3,breath,4.4,4.24,4.56,
3,breath,4.44,4.24,4.56,
3,breath,4.47,4.24,4.56,
3,breath,4.5,4.24,4.56,
3,breath,4.54,4.24,4.56,
3,breath,4.56,4.24,4.56,
3,lean,5.01,5.01,5.3,left
4,pulse,5.4,5.4,6.13,
4,pulse,5.42,5.4,6.13,
4,pulse,5.43,5.4,6.13,
4,pulse,4.46,5.4,6.13,
4,pulse,5.47,5.4,6.13,
4,pulse,5.49,5.4,6.13,
4,pulse,5.5,5.4,6.13,
4,pulse,5.53,5.4,6.13,
4,pulse,5.54,5.4,6.13,
4,pulse,5.57,5.4,6.13,
4,pulse,5.59,5.4,6.13,
4,pulse,6.02,5.4,6.13,
4,pulse,6.04,5.4,6.13,
4,pulse,6.06,5.4,6.13,
4,pulse,6.08,5.4,6.13,
4,pulse,6.11,5.4,6.13,
4,pulse,6.13,5.4,6.13,
4,breath,6.18,6.18,6.52,
4,breath,6.22,6.18,6.52,
4,breath,6.25,6.18,6.52,
4,breath,6.29,6.18,6.52,
4,breath,6.31,6.18,6.52,
4,breath,6.36,6.18,6.52,
4,breath,6.39,6.18,6.52,
4,breath,6.42,6.18,6.52,
4,breath,6.46,6.18,6.52,
4,breath,6.49,6.18,6.52,
4,breath,6.52,6.18,6.52,
4,lean,6.57,6.57,7.18,left
5,pulse,7.3,7.3,7.58,
5,pulse,7.33,7.3,7.58,
5,pulse,7.35,7.3,7.58,
5,pulse,7.37,7.3,7.58,
5,pulse,7.39,7.3,7.58,
