Mark,Type,Timestamp,Start,End,Direction
1,pulse,0.25,0.25,0.39,
1,pulse,0.25,0.25,0.39,
1,pulse,0.26,0.25,0.39,
1,pulse,0.26,0.25,0.39,
1,pulse,0.27,0.25,0.39,
1,pulse,0.27,0.25,0.39,
1,pulse,0.28,0.25,0.39,
1,pulse,0.28,0.25,0.39,
1,pulse,0.29,0.25,0.39,
1,pulse,0.29,0.25,0.39,
1,pulse,0.31,0.25,0.39,
1,pulse,0.31,0.25,0.39,
1,pulse,0.32,0.25,0.39,
1,pulse,0.32,0.25,0.39,
1,pulse,0.33,0.25,0.39,
1,pulse,0.33,0.25,0.39,
1,pulse,0.34,0.25,0.39,
1,pulse,0.34,0.25,0.39,
1,pulse,0.35,0.25,0.39,
1,pulse,0.35,0.25,0.39,
1,pulse,0.36,0.25,0.39,
1,pulse,0.36,0.25,0.39,
1,pulse,0.37,0.25,0.39,
1,pulse,0.37,0.25,0.39,
1,pulse,0.38,0.25,0.39,
1,pulse,0.38,0.25,0.39,
1,pulse,0.39,0.25,0.39,
1,pulse,0.39,0.25,0.39,
1,breath,0.44,0.44,1.02,
1,breath,0.47,0.44,1.02,
1,breath,0.5,0.44,1.02,
1,breath,0.53,0.44,1.02,
1,breath,0.56,0.44,1.02,
1,breath,0.59,0.44,1.02,
1,breath,1.02,0.44,1.02,
1,lean,1.06,1.06,1.37,left
2,pulse,2.09,2.09,2.2,
2,pulse,2.09,2.09,2.2,
2,pulse,2.15,2.09,2.2,
2,pulse,2.15,2.09,2.2,
2,pulse,2.16,2.09,2.2,
2,pulse,2.16,2.09,2.2,
2,pulse,2.17,2.09,2.2,
2,pulse,2.17,2.09,2.2,
2,pulse,2.18,2.09,2.2,
2,pulse,2.18,2.09,2.2,
2,pulse,2.19,2.09,2.2,
2,pulse,2.19,2.09,2.2,
2,pulse,2.2,2.09,2.2,
2,pulse,2.2,2.09,2.2,
2,breath,2.3,2.3,2.51,
2,breath,2.33,2.3,2.51,
2,breath,2.36,2.3,2.51,
2,breath,2.39,2.3,2.51,
2,breath,2.42,2.3,2.51,
2,breath,2.45,2.3,2.51,
2,breath,2.48,2.3,2.51,
2,breath,2.51,2.3,2.51,
2,lean,2.54,2.54,2.54,left
3,pulse,4.02,4.02,4.3,
3,pulse,4.02,4.02,4.3,
3,pulse,4.04,4.02,4.3,
3,pulse,4.04,4.02,4.3,
3,pulse,4.09,4.02,4.3,
3,pulse,4.09,4.02,4.3,
3,pulse,4.1,4.02,4.3,
3,pulse,4.1,4.02,4.3,
3,pulse,4.11,4.02,4.3,
3,pulse,4.11,4.02,4.3,
3,pulse,4.12,4.02,4.3,
3,pulse,4.12,4.02,4.3,
3,pulse,4.13,4.02,4.3,
3,pulse,4.13,4.02,4.3,
3,pulse,4.14,4.02,4.3,
3,pulse,4.14,4.02,4.3,
3,pulse,4.15,4.02,4.3,
3,pulse,4.15,4.02,4.3,
3,pulse,4.17,4.02,4.3,
3,pulse,4.17,4.02,4.3,
3,pulse,4.2,4.02,4.3,
3,pulse,4.2,4.02,4.3,
3,pulse,4.21,4.02,4.3,
3,pulse,4.21,4.02,4.3,
3,pulse,4.22,4.02,4.3,
3,pulse,4.22,4.02,4.3,
3,pulse,4.25,4.02,4.3,
3,pulse,4.25,4.02,4.3,
3,pulse,4.26,4.02,4.3,
3,pulse,4.26,4.02,4.3,
3,pulse,4.27,4.02,4.3,
3,pulse,4.27,4.02,4.3,
3,pulse,4.29,4.02,4.3,
3,pulse,4.29,4.02,4.3,
3,pulse,4.3,4.02,4.3,
3,pulse,4.3,4.02,4.3,
3,breath,4.37,4.37,5,
3,breath,4.41,4.37,5,
3,breath,4.45,4.37,5,
3,breath,4.49,4.37,5,
3,breath,4.53,4.37,5,
3,breath,4.56,4.37,5,
3,breath,5,4.37,5,
3,lean,5.03,5.03,5.24,left
3,lean,5.24,5.03,5.24,left
3,lean,5.49,5.03,5.54,left
3,lean,5.5,5.03,5.54,left
3,lean,5.51,5.03,5.54,left
3,lean,5.52,5.03,5.54,left
3,lean,5.53,5.03,5.54,left
3,lean,5.54,5.03,5.54,left
4,pulse,5.42,5.42,5.57,
4,pulse,5.42,5.42,5.57,
4,pulse,5.45,5.42,5.57,
4,pulse,5.45,5.42,5.57,
4,pulse,5.56,5.42,5.57,
4,pulse,5.56,5.42,5.57,
4,pulse,5.57,5.42,5.57,
4,pulse,5.57,5.42,5.57,
4,breath,6.02,6.02,6.17,
4,breath,6.06,6.02,6.17,
4,breath,6.1,6.02,6.17,
4,breath,6.13,6.02,6.17,
4,breath,6.17,6.02,6.17,
4,lean,6.22,6.22,6.36,left
5,pulse,7.08,7.08,7.2,
5,pulse,7.08,7.08,7.2,
5,pulse,7.1,7.08,7.2,
5,pulse,7.1,7.08,7.2,
5,pulse,7.11,7.08,7.2,
5,pulse,7.11,7.08,7.2,
5,pulse,7.12,7.08,7.2,
5,pulse,7.12,7.08,7.2,
5,pulse,7.13,7.08,7.2,
5,pulse,7.13,7.08,7.2,
5,pulse,7.14,7.08,7.2,
5,pulse,7.14,7.08,7.2,
5,pulse,7.15,7.08,7.2,
5,pulse,7.15,7.08,7.2,
5,pulse,7.17,7.08,7.2,
5,pulse,7.17,7.08,7.2,
5,pulse,7.18,7.08,7.2,
5,pulse,7.18,7.08,7.2,
5,pulse,7.2,7.08,7.2,
5,pulse,7.2,7.08,7.2,
5,breath,7.26,7.26,7.48,
5,breath,7.3,7.26,7.48,
5,breath,7.33,7.26,7.48,
5,breath,7.36,7.26,7.48,
5,breath,7.39,7.26,7.48,
5,breath,7.42,7.26,7.48,
5,breath,7.45,7.26,7.48,
5,breath,7.48,7.26,7.48,
5,lean,7.52,7.52,8.06,right
6,pulse,8.14,8.14,8.29,
6,pulse,8.14,8.14,8.29,
6,pulse,8.16,8.14,8.29,
6,pulse,8.16,8.14,8.29,
6,pulse,8.17,8.14,8.29,
6,pulse,8.17,8.14,8.29,
6,pulse,8.18,8.14,8.29,
6,pulse,8.18,8.14,8.29,
6,pulse,8.19,8.14,8.29,
6,pulse,8.19,8.14,8.29,
6,pulse,8.2,8.14,8.29,
6,pulse,8.2,8.14,8.29,
6,pulse,8.21,8.14,8.29,
