Mark,Type,Timestamp,Start,End
1,pulse,0.12,0.12,0.32
1,pulse,0.13,0.12,0.32
1,pulse,0.14,0.12,0.32
1,pulse,0.15,0.12,0.32
1,pulse,0.16,0.12,0.32
1,pulse,0.17,0.12,0.32
1,pulse,0.18,0.12,0.32
1,pulse,0.19,0.12,0.32
1,pulse,0.2,0.12,0.32
1,pulse,0.21,0.12,0.32
1,pulse,0.23,0.12,0.32
1,pulse,0.25,0.12,0.32
1,pulse,0.27,0.12,0.32
1,pulse,0.29,0.12,0.32
1,pulse,0.31,0.12,0.32
1,pulse,0.32,0.12,0.32
1,breath,0.38,0.38,1.02
1,breath,0.4,0.38,1.02
1,breath,0.42,0.38,1.02
1,breath,0.44,0.38,1.02
1,breath,0.46,0.38,1.02
1,breath,0.48,0.38,1.02
1,breath,0.51,0.38,1.02
1,breath,0.55,0.38,1.02
1,breath,0.58,0.38,1.02
1,breath,1.02,0.38,1.02
2,pulse,1.14,1.14,1.45
2,pulse,1.15,1.14,1.45
2,pulse,1.16,1.14,1.45
2,pulse,1.17,1.14,1.45
2,pulse,1.19,1.14,1.45
2,pulse,1.2,1.14,1.45
2,pulse,1.21,1.14,1.45
2,pulse,1.23,1.14,1.45
2,pulse,1.24,1.14,1.45
2,pulse,1.27,1.14,1.45
2,pulse,1.28,1.14,1.45
2,pulse,1.3,1.14,1.45
2,pulse,1.32,1.14,1.45
2,pulse,1.34,1.14,1.45
2,pulse,1.36,1.14,1.45
2,pulse,1.38,1.14,1.45
2,pulse,1.41,1.14,1.45
2,pulse,1.45,1.14,1.45
2,breath,1.51,1.51,2.23
2,breath,1.55,1.51,2.23
2,breath,2,1.51,2.23
2,breath,2.04,1.51,2.23
2,breath,2.08,1.51,2.23
2,breath,2.11,1.51,2.23
2,breath,2.14,1.51,2.23
2,breath,2.16,1.51,2.23
2,breath,2.2,1.51,2.23
2,breath,2.23,1.51,2.23
3,pulse,2.32,2.32,3.04
3,pulse,2.33,2.32,3.04
3,pulse,2.36,2.32,3.04
3,pulse,2.39,2.32,3.04
3,pulse,2.41,2.32,3.04
3,pulse,2.42,2.32,3.04
3,pulse,2.44,2.32,3.04
3,pulse,2.46,2.32,3.04
3,pulse,2.47,2.32,3.04
3,pulse,2.49,2.32,3.04
3,pulse,2.5,2.32,3.04
3,pulse,2.53,2.32,3.04
3,pulse,2.55,2.32,3.04
3,pulse,2.57,2.32,3.04
3,pulse,3,2.32,3.04
3,pulse,3.02,2.32,3.04
3,pulse,3.04,2.32,3.04
3,breath,3.1,3.1,3.4
3,breath,3.12,3.1,3.4
3,breath,3.14,3.1,3.4
3,breath,3.18,3.1,3.4
3,breath,3.21,3.1,3.4
3,breath,3.25,3.1,3.4
3,breath,3.29,3.1,3.4
3,breath,3.32,3.1,3.4
3,breath,3.36,3.1,3.4
3,breath,3.4,3.1,3.4
4,pulse,4.01,4.01,4.58
4,pulse,4.08,4.01,4.58
4,pulse,4.09,4.01,4.58
4,pulse,4.1,4.01,4.58
4,pulse,4.11,4.01,4.58
4,pulse,4.12,4.01,4.58
4,pulse,4.13,4.01,4.58
4,pulse,4.15,4.01,4.58
4,pulse,4.16,4.01,4.58
4,pulse,4.2,4.01,4.58
4,pulse,4.21,4.01,4.58
4,pulse,4.25,4.01,4.58
4,pulse,4.3,4.01,4.58
4,pulse,4.31,4.01,4.58
4,pulse,4.32,4.01,4.58
4,pulse,4.5,4.01,4.58
4,pulse,4.51,4.01,4.58
4,pulse,4.52,4.01,4.58
4,pulse,4.53,4.01,4.58
4,pulse,4.54,4.01,4.58
4,pulse,4.55,4.01,4.58
4,pulse,4.56,4.01,4.58
4,pulse,4.57,4.01,4.58
4,pulse,4.58,4.01,4.58
4,breath,4.21,4.21,5.11
4,breath,4.23,4.21,5.11
4,breath,4.26,4.21,5.11
4,breath,4.3,4.21,5.11
4,breath,4.34,4.21,5.11
4,breath,4.38,4.21,5.11
4,breath,4.41,4.21,5.11
4,breath,4.44,4.21,5.11
4,breath,4.49,4.21,5.11
4,breath,5.11,4.21,5.11
5,pulse,5.23,5.23,5.42
5,pulse,5.24,5.23,5.42
5,pulse,5.26,5.23,5.42
5,pulse,5.28,5.23,5.42
5,pulse,5.29,5.23,5.42
5,pulse,5.3,5.23,5.42
5,pulse,5.32,5.23,5.42
5,pulse,5.33,5.23,5.42
5,pulse,5.34,5.23,5.42
5,pulse,5.36,5.23,5.42
5,pulse,5.37,5.23,5.42
5,pulse,5.38,5.23,5.42
5,pulse,5.4,5.23,5.42
5,pulse,5.42,5.23,5.42
5,breath,5.46,5.46,6.14
5,breath,5.49,5.46,6.14
5,breath,5.53,5.46,6.14
5,breath,5.57,5.46,6.14
5,breath,6.01,5.46,6.14
5,breath,6.02,5.46,6.14
5,breath,6.04,5.46,6.14
5,breath,6.07,5.46,6.14
5,breath,6.11,5.46,6.14
5,breath,6.14,5.46,6.14
6,pulse,6.22,6.22,6.38
6,pulse,6.23,6.22,6.38
6,pulse,6.24,6.22,6.38
6,pulse,6.25,6.22,6.38
6,pulse,6.26,6.22,6.38
