Mark,Type,Timestamp,Start,End,Direction
1,pulse,00.30,00.30,00.30,
1,pulse,00.31,00.30,00.31,
1,pulse,00.32,00.30,00.32,
1,pulse,00.34,00.30,00.34,
1,pulse,00.35,00.30,00.35,
1,pulse,00.37,00.30,00.37,
1,pulse,00.39,00.30,00.39,
1,pulse,00.41,00.30,00.41,
1,pulse,00.43,00.30,00.43,
1,pulse,00.44,00.30,00.44,
1,breath,00.49,00.49,00.49,
1,breath,00.51,00.49,00.51,
1,breath,00.53,00.49,00.53,
1,breath,00.56,00.49,00.56,
1,breath,00.58,00.49,00.58,
1,breath,01.00,00.49,01.00,
1,breath,01.03,00.49,01.03,
1,breath,01.07,00.49,01.07,
1,breath,01.09,00.49,01.09,
1,breath,01.12,00.49,01.12,
1,breath,01.38,00.49,01.38,
1,lean,01.16,01.16,01.42,right
2,pulse,02.43,02.43,02.43,
2,pulse,02.44,02.43,02.44,
2,pulse,02.46,02.43,02.46,
2,pulse,02.47,02.43,02.47,
2,pulse,02.49,02.43,02.49,
2,pulse,02.51,02.43,02.51,
2,pulse,02.52,02.43,02.52,
2,pulse,02.54,02.43,02.54,
2,pulse,02.55,02.43,02.55,
2,pulse,02.57,02.43,02.57,
2,breath,03.02,03.02,03.02,
2,breath,03.04,03.02,03.04,
2,breath,03.06,03.02,03.06,
2,breath,03.08,03.02,03.08,
2,breath,03.12,03.02,03.12,
2,breath,03.14,03.02,03.14,
2,breath,03.17,03.02,03.17,
2,breath,03.20,03.02,03.20,
2,breath,03.22,03.02,03.22,
2,breath,03.25,03.02,03.25,
2,lean,03.27,03.27,03.29,left
3,pulse,05.02,05.02,05.02,
3,pulse,05.04,05.02,05.04,
3,pulse,05.05,05.02,05.05,
3,pulse,05.07,05.02,05.07,
3,pulse,05.08,05.02,05.08,
3,pulse,05.10,05.02,05.10,
3,pulse,05.12,05.02,05.12,
3,pulse,05.13,05.02,05.13,
3,pulse,05.15,05.02,05.15,
3,pulse,05.17,05.02,05.17,
3,breath,05.22,05.22,05.22,
3,breath,05.25,05.22,05.25,
3,breath,05.28,05.22,05.28,
3,breath,05.30,05.22,05.30,
3,breath,05.34,05.22,05.34,
3,breath,05.37,05.22,05.37,
3,breath,05.40,05.22,05.40,
3,breath,05.43,05.22,05.43,
3,breath,05.45,05.22,05.45,
3,breath,05.49,05.22,05.49,
3,lean,05.51,05.51,06.03,left
4,pulse,06.16,06.16,06.16,
4,pulse,06.18,06.16,06.18,
4,pulse,06.19,06.16,06.19,
4,pulse,06.20,06.16,06.20,
4,pulse,06.22,06.16,06.22,
4,pulse,06.23,06.16,06.23,
4,pulse,06.25,06.16,06.25,
4,pulse,06.26,06.16,06.26,
4,pulse,06.27,06.16,06.27,
4,pulse,06.28,06.16,06.28,
4,breath,06.32,06.32,06.32,
4,breath,06.35,06.32,06.35,
4,breath,06.38,06.32,06.38,
4,breath,06.40,06.32,06.40,
4,breath,06.44,06.32,06.44,
4,breath,06.46,06.32,06.46,
4,breath,06.49,06.32,06.49,
4,breath,06.51,06.32,06.51,
4,breath,06.54,06.32,06.54,
4,breath,06.57,06.32,06.57,
4,lean,06.59,06.59,07.11,left
5,pulse,07.24,07.24,07.24,
5,pulse,07.26,07.24,07.26,
5,pulse,07.28,07.24,07.28,
5,pulse,07.29,07.24,07.29,
5,pulse,07.30,07.24,07.30,
5,pulse,07.32,07.24,07.32,
5,pulse,07.33,07.24,07.33,
5,pulse,07.35,07.24,07.35,
5,pulse,07.36,07.24,07.36,
5,pulse,07.38,07.24,07.38,
5,breath,07.41,07.41,07.41,
5,breath,07.44,07.41,07.44,
5,breath,07.47,07.41,07.47,
5,breath,07.50,07.41,07.50,
5,breath,07.52,07.41,07.52,
5,breath,07.55,07.41,07.55,
5,breath,07.57,07.41,07.57,
5,breath,08.00,07.41,08.00,
5,breath,08.02,07.41,08.02,
5,breath,08.04,07.41,08.04,
5,lean,08.07,08.07,08.20,left
6,pulse,08.30,08.30,08.30,
6,pulse,08.32,08.30,08.32,
6,pulse,08.33,08.30,08.33,
6,pulse,08.35,08.30,08.35,
6,pulse,08.36,08.30,08.36,
6,pulse,08.38,08.30,08.38,
6,pulse,08.39,08.30,08.39,
6,pulse,08.41,08.30,08.41,
6,pulse,08.43,08.30,08.43,
6,pulse,08.44,08.30,08.44,
6,breath,08.49,08.49,08.49,
6,breath,08.51,08.49,08.51,
6,breath,08.54,08.49,08.54,
6,breath,08.56,08.49,08.56,
6,breath,08.59,08.49,08.59,
6,breath,09.02,08.49,09.02,
6,breath,09.04,08.49,09.04,
6,breath,09.06,08.49,09.06,
6,breath,09.08,08.49,09.08,
6,breath,09.11,08.49,09.11,
6,lean,09.14,09.14,09.27,left
7,pulse,09.43,09.43,09.43,
7,pulse,09.44,09.43,09.44,
7,pulse,09.46,09.43,09.46,
7,pulse,09.47,09.43,09.47,
7,pulse,09.49,09.43,09.49,
7,pulse,09.50,09.43,09.50,
7,pulse,09.52,09.43,09.52,
7,pulse,09.53,09.43,09.53,
7,pulse,09.55,09.43,09.55,
7,pulse,09.56,09.43,09.56,
7,breath,10.00,10.00,10.00,
7,breath,10.02,10.00,10.02,
7,breath,10.05,10.00,10.05,
7,breath,10.07,10.00,10.07,
7,breath,10.10,10.00,10.10,
7,breath,10.12,10.00,10.12,
7,breath,10.14,10.00,10.14,
7,breath,10.16,10.00,10.16,
7,breath,10.18,10.00,10.18,
7,breath,10.20,10.00,10.20,
7,lean,10.22,10.22,10.34,right
8,pulse,10.57,10.57,10.57,
