Mark,Type,Timestamp,Start,End,Direction
1,pulse,00.04,00.04,00.04,
1,pulse,00.06,00.04,00.06,
1,pulse,00.08,00.04,00.08,
1,pulse,00.10,00.04,00.10,
1,pulse,00.12,00.04,00.12,
1,pulse,00.14,00.04,00.14,
1,pulse,00.16,00.04,00.16,
1,pulse,00.18,00.04,00.18,
1,pulse,00.20,00.04,00.20,
1,breath,00.40,00.40,00.40,
1,breath,00.43,00.40,00.43,
1,breath,00.46,00.40,00.46,
1,breath,00.49,00.40,00.49,
1,breath,00.51,00.40,00.51,
1,breath,00.54,00.40,00.54,
1,breath,00.57,00.40,00.57,
1,breath,01.00,00.40,01.00,
1,breath,01.03,00.40,01.03,
2,pulse,02.13,00.04,02.13,
2,pulse,02.16,00.04,02.16,
2,pulse,02.17,00.04,02.17,
2,pulse,02.19,00.04,02.19,
2,pulse,02.20,00.04,02.20,
2,pulse,02.22,00.04,02.22,
2,pulse,02.24,00.04,02.24,
2,breath,02.38,00.40,02.38,
2,breath,02.40,00.40,02.40,
2,breath,02.42,00.40,02.42,
2,breath,02.45,00.40,02.45,
2,breath,02.47,00.40,02.47,
2,breath,02.49,00.40,02.49,
2,breath,02.52,00.40,02.52,
2,breath,02.54,00.40,02.54,
2,breath,02.57,00.40,02.57,
3,pulse,03.07,00.04,03.07,
3,pulse,03.08,00.04,03.08,
3,pulse,03.09,00.04,03.09,
3,pulse,03.11,00.04,03.11,
3,pulse,03.12,00.04,03.12,
3,pulse,03.13,00.04,03.13,
3,pulse,03.15,00.04,03.15,
3,pulse,03.16,00.04,03.16,
3,pulse,03.17,00.04,03.17,
3,pulse,03.19,00.04,03.19,
3,breath,03.23,00.40,03.23,
3,breath,03.25,00.40,03.25,
3,breath,03.28,00.40,03.28,
3,breath,03.30,00.40,03.30,
3,breath,03.32,00.40,03.32,
3,breath,03.35,00.40,03.35,
3,breath,03.38,00.40,03.38,
3,breath,03.40,00.40,03.40,
3,breath,03.43,00.40,03.43,
3,breath,03.46,00.40,03.46,
4,pulse,03.54,00.04,03.54,
4,pulse,03.55,00.04,03.55,
4,pulse,03.57,00.04,03.57,
4,pulse,03.58,00.04,03.58,
4,pulse,04.01,00.04,04.01,
4,pulse,04.41,00.04,04.41,
4,pulse,04.42,00.04,04.42,
4,pulse,04.43,00.04,04.43,
4,pulse,04.44,00.04,04.44,
4,pulse,04.46,00.04,04.46,
4,pulse,04.47,00.04,04.47,
4,pulse,04.48,00.04,04.48,
4,pulse,04.51,00.04,04.51,
4,pulse,04.52,00.04,04.52,
4,pulse,04.54,00.04,04.54,
4,breath,04.58,00.40,04.58,
4,breath,04.59,00.40,04.59,
4,breath,05.03,00.40,05.03,
4,breath,05.05,00.40,05.05,
4,breath,05.08,00.40,05.08,
4,breath,05.10,00.40,05.10,
4,breath,05.13,00.40,05.13,
4,breath,05.15,00.40,05.15,
4,breath,05.18,00.40,05.18,
4,breath,05.20,00.40,05.20,
5,pulse,05.36,00.04,05.36,
5,pulse,05.37,00.04,05.37,
5,pulse,05.38,00.04,05.38,
5,pulse,06.20,00.04,06.20,
5,pulse,06.21,00.04,06.21,
5,pulse,06.22,00.04,06.22,
5,pulse,06.24,00.04,06.24,
5,pulse,06.26,00.04,06.26,
5,pulse,06.28,00.04,06.28,
5,pulse,06.30,00.04,06.30,
5,pulse,06.32,00.04,06.32,
5,pulse,06.34,00.04,06.34,
5,pulse,06.35,00.04,06.35,
5,breath,06.39,00.40,06.39,
5,breath,06.41,00.40,06.41,
5,breath,06.44,00.40,06.44,
5,breath,06.45,00.40,06.45,
5,breath,06.47,00.40,06.47,
5,breath,06.50,00.40,06.50,
5,breath,06.53,00.40,06.53,
5,breath,06.55,00.40,06.55,
5,breath,06.58,00.40,06.58,
5,breath,07.01,00.40,07.01,
5,breath,07.03,00.40,07.03,
6,pulse,07.12,00.04,07.12,
6,pulse,07.13,00.04,07.13,
6,pulse,07.14,00.04,07.14,
6,pulse,07.16,00.04,07.16,
6,pulse,07.17,00.04,07.17,
6,pulse,07.19,00.04,07.19,
6,breath,07.34,00.40,07.34,
6,breath,07.37,00.40,07.37,
6,breath,07.39,00.40,07.39,
6,breath,07.43,00.40,07.43,
