Mark,Type,Timestamp,Start,End,Direction
1,pulse,00.13,00.13,00.13,
1,pulse,00.13,00.13,00.13,
1,pulse,00.14,00.13,00.14,
1,pulse,00.15,00.13,00.15,
1,pulse,00.15,00.13,00.15,
1,pulse,00.16,00.13,00.16,
1,pulse,00.17,00.13,00.17,
1,pulse,00.18,00.13,00.18,
1,pulse,00.19,00.13,00.19,
1,pulse,00.20,00.13,00.20,
1,pulse,00.21,00.13,00.21,
1,pulse,00.22,00.13,00.22,
1,pulse,00.23,00.13,00.23,
1,pulse,00.24,00.13,00.24,
1,breath,00.29,00.29,00.29,
1,breath,00.32,00.29,00.32,
1,breath,00.36,00.29,00.36,
1,breath,00.40,00.29,00.40,
1,breath,00.44,00.29,00.44,
1,breath,00.47,00.29,00.47,
1,breath,00.51,00.29,00.51,
1,breath,00.54,00.29,00.54,
1,breath,00.58,00.29,00.58,
1,breath,01.01,00.29,01.01,
2,pulse,01.07,00.13,01.07,
2,pulse,01.07,00.13,01.07,
2,pulse,01.08,00.13,01.08,
2,pulse,01.08,00.13,01.08,
2,pulse,01.09,00.13,01.09,
2,pulse,01.09,00.13,01.09,
2,pulse,01.10,00.13,01.10,
2,pulse,01.10,00.13,01.10,
2,pulse,01.11,00.13,01.11,
2,pulse,01.12,00.13,01.12,
2,pulse,01.13,00.13,01.13,
2,pulse,01.13,00.13,01.13,
2,pulse,01.14,00.13,01.14,
2,pulse,01.15,00.13,01.15,
2,pulse,01.15,00.13,01.15,
2,pulse,01.16,00.13,01.16,
2,pulse,01.17,00.13,01.17,
2,pulse,01.18,00.13,01.18,
2,breath,01.23,00.29,01.23,
2,breath,01.26,00.29,01.26,
2,breath,01.29,00.29,01.29,
2,breath,01.32,00.29,01.32,
2,breath,01.36,00.29,01.36,
2,breath,01.39,00.29,01.39,
2,breath,01.42,00.29,01.42,
2,breath,01.46,00.29,01.46,
2,breath,01.49,00.29,01.49,
2,breath,01.52,00.29,01.52,
3,pulse,01.58,00.13,01.58,
3,pulse,01.58,00.13,01.58,
3,pulse,01.59,00.13,01.59,
3,pulse,01.59,00.13,01.59,
3,pulse,02.00,00.13,02.00,
3,pulse,02.00,00.13,02.00,
3,pulse,02.01,00.13,02.01,
3,pulse,02.02,00.13,02.02,
3,pulse,02.03,00.13,02.03,
3,pulse,02.03,00.13,02.03,
3,pulse,02.04,00.13,02.04,
3,pulse,02.05,00.13,02.05,
3,pulse,02.05,00.13,02.05,
3,pulse,02.06,00.13,02.06,
3,pulse,02.07,00.13,02.07,
3,pulse,02.08,00.13,02.08,
