Mark,Type,Timestamp,Start,End,Direction
1,pulse,00.02,00.02,00.02,
1,pulse,00.03,00.02,00.03,
1,pulse,00.04,00.02,00.04,
1,pulse,00.06,00.02,00.06,
1,pulse,00.07,00.02,00.07,
1,pulse,00.09,00.02,00.09,
1,pulse,00.10,00.02,00.10,
1,pulse,00.12,00.02,00.12,
1,pulse,00.13,00.02,00.13,
1,pulse,00.14,00.02,00.14,
1,breath,00.18,00.18,00.18,
1,breath,00.20,00.18,00.20,
1,breath,00.22,00.18,00.22,
1,breath,00.24,00.18,00.24,
1,breath,00.26,00.18,00.26,
1,breath,00.28,00.18,00.28,
1,breath,00.31,00.18,00.31,
1,breath,00.33,00.18,00.33,
1,breath,00.35,00.18,00.35,
1,breath,00.37,00.18,00.37,
1,lean,00.39,00.39,00.49,left
2,pulse,00.55,00.55,00.55,
2,pulse,00.57,00.55,00.57,
2,pulse,00.58,00.55,00.58,
2,pulse,01.00,00.55,01.00,
2,pulse,01.01,00.55,01.01,
2,pulse,01.02,00.55,01.02,
2,pulse,01.04,00.55,01.04,
2,pulse,01.05,00.55,01.05,
2,pulse,01.06,00.55,01.06,
2,pulse,01.07,00.55,01.07,
2,breath,01.11,01.11,01.11,
2,breath,01.13,01.11,01.13,
2,breath,01.15,01.11,01.15,
2,breath,01.16,01.11,01.16,
2,breath,01.18,01.11,01.18,
2,breath,01.20,01.11,01.20,
2,breath,01.22,01.11,01.22,
2,breath,01.24,01.11,01.24,
2,breath,01.26,01.11,01.26,
2,breath,01.28,01.11,01.28,
2,lean,01.30,01.30,01.41,left
3,pulse,01.49,01.49,01.49,
3,pulse,01.50,01.49,01.50,
3,pulse,01.52,01.49,01.52,
3,pulse,01.53,01.49,01.53,
3,pulse,01.55,01.49,01.55,
3,pulse,01.56,01.49,01.56,
3,pulse,01.58,01.49,01.58,
3,pulse,01.59,01.49,01.59,
3,pulse,02.00,01.49,02.00,
3,pulse,02.02,01.49,02.02,
3,breath,02.05,02.05,02.05,
3,breath,02.07,02.05,02.07,
3,breath,02.09,02.05,02.09,
3,breath,02.11,02.05,02.11,
3,breath,02.13,02.05,02.13,
3,breath,02.15,02.05,02.15,
3,breath,02.17,02.05,02.17,
3,breath,02.19,02.05,02.19,
3,breath,02.21,02.05,02.21,
3,breath,02.23,02.05,02.23,
3,lean,02.25,02.25,02.35,right
4,pulse,02.42,02.42,02.42,
4,pulse,02.43,02.42,02.43,
4,pulse,02.44,02.42,02.44,
4,pulse,02.45,02.42,02.45,
4,pulse,02.47,02.42,02.47,
4,pulse,02.48,02.42,02.48,
4,pulse,02.49,02.42,02.49,
4,pulse,02.51,02.42,02.51,
4,pulse,02.52,02.42,02.52,
4,pulse,02.54,02.42,02.54,
4,breath,02.57,02.57,02.57,
4,breath,02.59,02.57,02.59,
4,breath,03.01,02.57,03.01,
4,breath,03.03,02.57,03.03,
4,breath,03.05,02.57,03.05,
4,breath,03.06,02.57,03.06,
4,breath,03.08,02.57,03.08,
4,breath,03.10,02.57,03.10,
4,breath,03.12,02.57,03.12,
4,breath,03.14,02.57,03.14,
4,lean,03.16,03.16,03.25,left
5,pulse,03.32,03.32,03.32,
5,pulse,03.33,03.32,03.33,
5,pulse,03.34,03.32,03.34,
5,pulse,03.35,03.32,03.35,
5,pulse,03.36,03.32,03.36,
5,pulse,03.38,03.32,03.38,
5,pulse,03.39,03.32,03.39,
5,pulse,03.41,03.32,03.41,
5,pulse,03.42,03.32,03.42,
5,pulse,03.43,03.32,03.43,
5,breath,03.48,03.48,03.48,
5,breath,03.50,03.48,03.50,
5,breath,03.52,03.48,03.52,
5,breath,03.53,03.48,03.53,
5,breath,03.56,03.48,03.56,
5,breath,03.58,03.48,03.58,
5,breath,03.59,03.48,03.59,
5,breath,04.01,03.48,04.01,
5,breath,04.03,03.48,04.03,
5,breath,04.06,03.48,04.06,
5,lean,04.07,04.07,04.18,left
6,pulse,04.27,04.27,04.27,
6,pulse,04.29,04.27,04.29,
6,pulse,04.31,04.27,04.31,
6,pulse,04.32,04.27,04.32,
6,pulse,04.34,04.27,04.34,
6,pulse,04.35,04.27,04.35,
6,pulse,04.37,04.27,04.37,
6,pulse,04.38,04.27,04.38,
6,pulse,04.39,04.27,04.39,
6,pulse,04.41,04.27,04.41,
6,breath,04.44,04.44,04.44,
6,breath,04.46,04.44,04.46,
6,breath,04.49,04.44,04.49,
6,breath,04.51,04.44,04.51,
6,breath,04.53,04.44,04.53,
6,breath,04.55,04.44,04.55,
6,breath,04.57,04.44,04.57,
6,breath,05.00,04.44,05.00,
