Mark,Type,Timestamp,Start,End,Direction
1,pulse,00.10,00.10,00.10,
1,pulse,00.10,00.10,00.10,
1,pulse,00.11,00.10,00.11,
1,pulse,00.12,00.10,00.12,
1,pulse,00.12,00.10,00.12,
1,pulse,00.13,00.10,00.13,
1,pulse,00.14,00.10,00.14,
1,pulse,00.15,00.10,00.15,
1,pulse,00.16,00.10,00.16,
1,pulse,00.17,00.10,00.17,
1,pulse,00.17,00.10,00.17,
1,pulse,00.19,00.10,00.19,
1,pulse,00.20,00.10,00.20,
1,pulse,00.21,00.10,00.21,
1,breath,00.24,00.24,00.24,
1,breath,00.27,00.24,00.27,
1,breath,00.29,00.24,00.29,
1,breath,00.32,00.24,00.32,
1,breath,00.35,00.24,00.35,
1,breath,00.38,00.24,00.38,
1,breath,00.41,00.24,00.41,
1,breath,00.43,00.24,00.43,
1,breath,00.46,00.24,00.46,
1,breath,00.49,00.24,00.49,
1,lean,00.50,00.50,00.57,left
2,pulse,01.05,01.05,01.05,
2,pulse,01.06,01.05,01.06,
2,pulse,01.06,01.05,01.06,
2,pulse,01.07,01.05,01.07,
2,pulse,01.08,01.05,01.08,
2,pulse,01.08,01.05,01.08,
2,pulse,01.09,01.05,01.09,
2,pulse,01.09,01.05,01.09,
2,pulse,01.10,01.05,01.10,
2,pulse,01.11,01.05,01.11,
2,pulse,01.12,01.05,01.12,
2,pulse,01.13,01.05,01.13,
2,pulse,01.13,01.05,01.13,
2,pulse,01.14,01.05,01.14,
2,pulse,01.14,01.05,01.14,
2,breath,01.18,01.18,01.18,
2,breath,01.21,01.18,01.21,
2,breath,01.24,01.18,01.24,
2,breath,01.26,01.18,01.26,
2,breath,01.29,01.18,01.29,
2,breath,01.32,01.18,01.32,
2,breath,01.34,01.18,01.34,
2,breath,01.37,01.18,01.37,
2,breath,01.40,01.18,01.40,
2,breath,01.43,01.18,01.43,
2,lean,01.43,01.43,01.54,right
3,pulse,02.00,02.00,02.00,
3,pulse,02.01,02.00,02.01,
3,pulse,02.01,02.00,02.01,
3,pulse,02.02,02.00,02.02,
3,pulse,02.02,02.00,02.02,
3,pulse,02.03,02.00,02.03,
3,pulse,02.04,02.00,02.04,
3,pulse,02.05,02.00,02.05,
3,pulse,02.05,02.00,02.05,
3,pulse,02.06,02.00,02.06,
3,pulse,02.07,02.00,02.07,
3,pulse,02.08,02.00,02.08,
3,pulse,02.08,02.00,02.08,
3,pulse,02.09,02.00,02.09,
3,pulse,02.10,02.00,02.10,
3,pulse,02.10,02.00,02.10,
3,pulse,02.11,02.00,02.11,
