Mark,Type,Timestamp,Start,End,Direction
1,pulse,00.00,00.00,00.00,
1,pulse,00.00,00.00,00.00,
1,pulse,00.01,00.00,00.01,
1,pulse,00.02,00.00,00.02,
1,pulse,00.03,00.00,00.03,
1,pulse,00.03,00.00,00.03,
1,pulse,00.04,00.00,00.04,
1,pulse,00.05,00.00,00.05,
1,pulse,00.06,00.00,00.06,
1,pulse,00.07,00.00,00.07,
1,pulse,00.08,00.00,00.08,
1,pulse,00.08,00.00,00.08,
1,pulse,00.09,00.00,00.09,
1,breath,00.12,00.12,00.12,
1,breath,00.14,00.12,00.14,
1,breath,00.17,00.12,00.17,
1,breath,00.19,00.12,00.19,
1,breath,00.22,00.12,00.22,
1,breath,00.24,00.12,00.24,
1,breath,00.27,00.12,00.27,
1,breath,00.29,00.12,00.29,
1,breath,00.32,00.12,00.32,
1,breath,00.34,00.12,00.34,
2,pulse,00.43,00.00,00.43,
2,pulse,00.43,00.00,00.43,
2,pulse,00.44,00.00,00.44,
2,pulse,00.45,00.00,00.45,
2,pulse,00.45,00.00,00.45,
2,pulse,00.46,00.00,00.46,
2,pulse,00.46,00.00,00.46,
2,pulse,00.47,00.00,00.47,
2,pulse,00.47,00.00,00.47,
2,pulse,00.48,00.00,00.48,
2,pulse,00.48,00.00,00.48,
2,pulse,00.49,00.00,00.49,
2,pulse,00.49,00.00,00.49,
2,pulse,00.50,00.00,00.50,
2,pulse,00.50,00.00,00.50,
2,pulse,00.51,00.00,00.51,
2,pulse,00.51,00.00,00.51,
2,pulse,00.52,00.00,00.52,
2,breath,00.55,00.12,00.55,
2,breath,00.59,00.12,00.59,
2,breath,01.02,00.12,01.02,
2,breath,01.05,00.12,01.05,
2,breath,01.08,00.12,01.08,
2,breath,01.11,00.12,01.11,
2,breath,01.14,00.12,01.14,
2,breath,01.17,00.12,01.17,
2,breath,01.20,00.12,01.20,
2,breath,01.23,00.12,01.23,
3,pulse,01.29,00.00,01.29,
3,pulse,01.29,00.00,01.29,
3,pulse,01.30,00.00,01.30,
3,pulse,01.30,00.00,01.30,
3,pulse,01.31,00.00,01.31,
3,pulse,01.31,00.00,01.31,
3,pulse,01.32,00.00,01.32,
3,pulse,01.33,00.00,01.33,
3,pulse,01.33,00.00,01.33,
3,pulse,01.34,00.00,01.34,
3,pulse,01.34,00.00,01.34,
3,pulse,01.35,00.00,01.35,
3,pulse,01.35,00.00,01.35,
3,pulse,01.36,00.00,01.36,
3,pulse,01.36,00.00,01.36,
3,pulse,01.37,00.00,01.37,
3,pulse,01.37,00.00,01.37,
3,pulse,01.38,00.00,01.38,
3,pulse,01.39,00.00,01.39,
3,pulse,01.39,00.00,01.39,
3,breath,01.42,00.12,01.42,
3,breath,01.45,00.12,01.45,
3,breath,01.47,00.12,01.47,
3,breath,01.50,00.12,01.50,
3,breath,01.53,00.12,01.53,
3,breath,01.56,00.12,01.56,
3,breath,01.58,00.12,01.58,
3,breath,02.01,00.12,02.01,
