Marker,Time for Heart,Heart,Time for Pulse,Pulse,Time for Breath,Breath,lean_direction,Start,End
1,0:23,69,23,72,0:58,22,right,1:02,1:33
2,1:56,75,1:56,72,2:31,22,left,2:35,3:05
3,3:31,77,3:31,76,4:04,24,right,4:08,4:38
4,5:05,75,5:05,76,5:40,24,left,5:45,6:14
5,6:38,76,6:38,76,7:14,24,right,7:19,7:49
6,8:12,79,8:12,84,8:48,22,left,8:55,9:24
7,9:46,75,9:46,72,10:21,24,right,10:26,10:55
8,11:22,72,11:22,80,11:56,20,left,11:59,12:30
9,12:56,78,12:56,76,13:32,20,left,13:35,14:06
10,14:29,76,14:29,76,15:04,24,right,15:11,15:39
11,16:03,75,16:03,80,16:37,26,left,16:44,17:13
12,17:38,79,17:38,80,18:16,22,left,18:22,18:52
13,19:17,77,19:17,76,19:52,22,left,19:56,20:25
14,20:51,76,20:51,80,21:28,22,right,21:33,22:02
15,22:56,76,22:29,80,23:03,22,right,23:08,23:39
