Mark,Type,Timestamp,Start,End,Direction
1,pulse,00.03,00.03,00.03,
1,pulse,00.03,00.03,00.03,
1,pulse,00.04,00.03,00.04,
1,pulse,00.04,00.03,00.04,
1,pulse,00.05,00.03,00.05,
1,pulse,00.06,00.03,00.06,
1,pulse,00.06,00.03,00.06,
1,pulse,00.08,00.03,00.08,
1,pulse,00.08,00.03,00.08,
1,pulse,00.09,00.03,00.09,
1,pulse,00.09,00.03,00.09,
1,pulse,00.11,00.03,00.11,
1,pulse,00.12,00.03,00.12,
1,pulse,00.12,00.03,00.12,
1,pulse,00.13,00.03,00.13,
1,pulse,00.14,00.03,00.14,
1,pulse,00.15,00.03,00.15,
1,pulse,00.16,00.03,00.16,
1,breath,00.20,00.20,00.20,
1,breath,00.23,00.20,00.23,
1,breath,00.27,00.20,00.27,
1,breath,00.30,00.20,00.30,
1,breath,00.33,00.20,00.33,
1,breath,00.36,00.20,00.36,
1,breath,00.40,00.20,00.40,
1,breath,00.43,00.20,00.43,
1,breath,00.47,00.20,00.47,
1,breath,00.50,00.20,00.50,
1,lean,00.52,00.52,01.07,left
2,pulse,01.27,01.27,01.27,
2,pulse,01.27,01.27,01.27,
2,pulse,01.28,01.27,01.28,
2,pulse,01.29,01.27,01.29,
2,pulse,01.30,01.27,01.30,
2,pulse,01.31,01.27,01.31,
2,pulse,01.31,01.27,01.31,
2,pulse,01.33,01.27,01.33,
2,pulse,01.33,01.27,01.33,
2,pulse,01.35,01.27,01.35,
2,pulse,01.36,01.27,01.36,
2,pulse,01.37,01.27,01.37,
2,pulse,01.38,01.27,01.38,
2,pulse,01.39,01.27,01.39,
2,pulse,01.40,01.27,01.40,
2,pulse,01.41,01.27,01.41,
2,pulse,01.42,01.27,01.42,
2,pulse,01.43,01.27,01.43,
2,pulse,01.44,01.27,01.44,
2,pulse,01.45,01.27,01.45,
2,pulse,01.46,01.27,01.46,
2,pulse,01.47,01.27,01.47,
2,pulse,01.48,01.27,01.48,
2,breath,01.53,01.53,01.53,
2,breath,01.58,01.53,01.58,
2,breath,02.01,01.53,02.01,
2,breath,02.04,01.53,02.04,
2,breath,02.09,01.53,02.09,
2,breath,02.13,01.53,02.13,
2,breath,02.17,01.53,02.17,
2,breath,02.20,01.53,02.20,
2,breath,02.24,01.53,02.24,
2,breath,02.27,01.53,02.27,
2,lean,02.29,02.29,02.42,left
3,pulse,02.52,02.52,02.52,
3,pulse,02.53,02.52,02.53,
3,pulse,02.53,02.52,02.53,
3,pulse,02.54,02.52,02.54,
3,pulse,02.55,02.52,02.55,
3,pulse,02.56,02.52,02.56,
3,pulse,02.56,02.52,02.56,
3,pulse,02.57,02.52,02.57,
3,pulse,02.58,02.52,02.58,
3,pulse,02.59,02.52,02.59,
3,pulse,03.00,02.52,03.00,
3,pulse,03.00,02.52,03.00,
3,pulse,03.01,02.52,03.01,
3,pulse,03.02,02.52,03.02,
3,pulse,03.03,02.52,03.03,
3,pulse,03.04,02.52,03.04,
3,pulse,03.05,02.52,03.05,
3,pulse,03.07,02.52,03.07,
3,pulse,03.09,02.52,03.09,
3,pulse,03.09,02.52,03.09,
3,pulse,03.11,02.52,03.11,
3,breath,03.15,03.15,03.15,
3,breath,03.18,03.15,03.18,
3,breath,03.21,03.15,03.21,
3,breath,03.25,03.15,03.25,
3,breath,03.28,03.15,03.28,
3,breath,03.32,03.15,03.32,
3,breath,03.35,03.15,03.35,
3,breath,03.38,03.15,03.38,
3,breath,03.42,03.15,03.42,
3,breath,03.46,03.15,03.46,
3,lean,03.48,03.48,04.00,left
4,pulse,04.09,04.09,04.09,
4,pulse,04.09,04.09,04.09,
4,pulse,04.10,04.09,04.10,
4,pulse,04.11,04.09,04.11,
4,pulse,04.11,04.09,04.11,
4,pulse,04.12,04.09,04.12,
4,pulse,04.13,04.09,04.13,
4,pulse,04.13,04.09,04.13,
4,pulse,04.14,04.09,04.14,
4,pulse,04.15,04.09,04.15,
4,pulse,04.16,04.09,04.16,
4,pulse,04.17,04.09,04.17,
4,pulse,04.18,04.09,04.18,
4,pulse,04.18,04.09,04.18,
4,pulse,04.19,04.09,04.19,
4,pulse,04.20,04.09,04.20,
4,pulse,04.20,04.09,04.20,
4,pulse,04.22,04.09,04.22,
4,pulse,04.22,04.09,04.22,
4,breath,04.28,04.28,04.28,
4,breath,04.31,04.28,04.31,
4,breath,04.35,04.28,04.35,
4,breath,04.39,04.28,04.39,
4,breath,04.43,04.28,04.43,
4,breath,04.46,04.28,04.46,
4,breath,04.49,04.28,04.49,
4,breath,04.53,04.28,04.53,
4,breath,04.56,04.28,04.56,
4,breath,05.00,04.28,05.00,
4,lean,05.03,05.03,05.14,left
5,pulse,05.22,05.22,05.22,
5,pulse,05.22,05.22,05.22,
5,pulse,05.23,05.22,05.23,
5,pulse,05.23,05.22,05.23,
5,pulse,05.24,05.22,05.24,
5,pulse,05.25,05.22,05.25,
5,pulse,05.25,05.22,05.25,
5,pulse,05.26,05.22,05.26,
5,pulse,05.27,05.22,05.27,
5,pulse,05.28,05.22,05.28,
5,pulse,05.28,05.22,05.28,
5,pulse,05.29,05.22,05.29,
5,pulse,05.30,05.22,05.30,
5,pulse,05.30,05.22,05.30,
5,pulse,05.31,05.22,05.31,
5,pulse,05.32,05.22,05.32,
5,pulse,05.33,05.22,05.33,
5,pulse,05.34,05.22,05.34,
5,pulse,05.35,05.22,05.35,
5,pulse,05.36,05.22,05.36,
5,pulse,05.36,05.22,05.36,
5,breath,05.41,05.41,05.41,
5,breath,05.45,05.41,05.45,
5,breath,05.49,05.41,05.49,
5,breath,05.53,05.41,05.53,
5,breath,06.00,05.41,06.00,
5,breath,06.02,05.41,06.02,
5,breath,06.05,05.41,06.05,
5,breath,06.09,05.41,06.09,
5,breath,06.12,05.41,06.12,
5,lean,06.14,06.14,06.25,left
6,pulse,06.35,06.35,06.35,
6,pulse,06.35,06.35,06.35,
6,pulse,06.36,06.35,06.36,
6,pulse,06.37,06.35,06.37,
6,pulse,06.38,06.35,06.38,
6,pulse,06.39,06.35,06.39,
6,pulse,06.39,06.35,06.39,
6,pulse,06.40,06.35,06.40,
6,pulse,06.41,06.35,06.41,
6,pulse,06.42,06.35,06.42,
6,pulse,06.43,06.35,06.43,
6,pulse,06.43,06.35,06.43,
6,pulse,06.44,06.35,06.44,
6,pulse,06.45,06.35,06.45,
6,pulse,06.46,06.35,06.46,
6,pulse,06.47,06.35,06.47,
6,pulse,06.48,06.35,06.48,
6,pulse,06.49,06.35,06.49,
6,pulse,06.50,06.35,06.50,
6,pulse,06.51,06.35,06.51,
6,breath,06.55,06.55,06.55,
6,breath,06.59,06.55,06.59,
6,breath,07.03,06.55,07.03,
6,breath,07.06,06.55,07.06,
6,breath,07.10,06.55,07.10,
6,breath,07.14,06.55,07.14,
6,breath,07.17,06.55,07.17,
6,breath,07.21,06.55,07.21,
6,breath,07.25,06.55,07.25,
6,breath,07.29,06.55,07.29,
6,lean,07.32,07.32,07.43,left
7,pulse,07.50,07.50,07.50,
7,pulse,07.51,07.50,07.51,
7,pulse,07.51,07.50,07.51,
7,pulse,07.52,07.50,07.52,
7,pulse,07.53,07.50,07.53,
7,pulse,07.53,07.50,07.53,
7,pulse,07.54,07.50,07.54,
7,pulse,07.55,07.50,07.55,
7,pulse,07.55,07.50,07.55,
7,pulse,07.56,07.50,07.56,
7,pulse,07.57,07.50,07.57,
7,pulse,07.58,07.50,07.58,
7,pulse,07.59,07.50,07.59,
7,pulse,07.59,07.50,07.59,
7,pulse,08.00,07.50,08.00,
7,pulse,08.01,07.50,08.01,
7,pulse,08.02,07.50,08.02,
7,pulse,08.02,07.50,08.02,
7,pulse,08.03,07.50,08.03,
7,breath,08.08,08.08,08.08,
7,breath,08.11,08.08,08.11,
7,breath,08.15,08.08,08.15,
7,breath,08.18,08.08,08.18,
7,breath,08.21,08.08,08.21,
7,breath,08.25,08.08,08.25,
7,breath,08.27,08.08,08.27,
7,breath,08.31,08.08,08.31,
7,breath,08.34,08.08,08.34,
7,breath,08.37,08.08,08.37,
7,lean,08.40,08.40,08.51,left
8,pulse,08.57,08.57,08.57,
8,pulse,08.58,08.57,08.58,
8,pulse,08.59,08.57,08.59,
8,pulse,08.59,08.57,08.59,
8,pulse,09.00,08.57,09.00,
8,pulse,09.00,08.57,09.00,
8,pulse,09.01,08.57,09.01,
8,pulse,09.02,08.57,09.02,
8,pulse,09.02,08.57,09.02,
8,pulse,09.03,08.57,09.03,
8,pulse,09.04,08.57,09.04,
8,pulse,09.04,08.57,09.04,
8,pulse,09.05,08.57,09.05,
8,pulse,09.06,08.57,09.06,
8,pulse,09.06,08.57,09.06,
8,pulse,09.07,08.57,09.07,
8,pulse,09.08,08.57,09.08,
8,pulse,09.08,08.57,09.08,
8,pulse,09.09,08.57,09.09,
8,pulse,09.10,08.57,09.10,
8,breath,09.14,09.14,09.14,
8,breath,09.18,09.14,09.18,
8,breath,09.22,09.14,09.22,
8,breath,09.26,09.14,09.26,
8,breath,09.31,09.14,09.31,
8,breath,09.32,09.14,09.32,
8,breath,09.34,09.14,09.34,
8,breath,09.38,09.14,09.38,
8,breath,09.42,09.14,09.42,
8,breath,09.45,09.14,09.45,
8,lean,09.46,09.46,10.01,left
9,pulse,10.09,10.09,10.09,
9,pulse,10.09,10.09,10.09,
9,pulse,10.10,10.09,10.10,
9,pulse,10.11,10.09,10.11,
9,pulse,10.12,10.09,10.12,
9,pulse,10.13,10.09,10.13,
9,pulse,10.14,10.09,10.14,
9,pulse,10.15,10.09,10.15,
9,pulse,10.16,10.09,10.16,
9,pulse,10.17,10.09,10.17,
9,pulse,10.17,10.09,10.17,
9,pulse,10.18,10.09,10.18,
9,pulse,10.19,10.09,10.19,
9,pulse,10.20,10.09,10.20,
9,pulse,10.22,10.09,10.22,
9,pulse,10.22,10.09,10.22,
9,pulse,10.23,10.09,10.23,
9,pulse,10.25,10.09,10.25,
9,pulse,10.26,10.09,10.26,
9,pulse,10.27,10.09,10.27,
9,breath,10.30,10.30,10.30,
9,breath,10.33,10.30,10.33,
9,breath,10.36,10.30,10.36,
9,breath,10.39,10.30,10.39,
9,breath,10.43,10.30,10.43,
9,breath,10.46,10.30,10.46,
9,breath,10.49,10.30,10.49,
9,breath,10.53,10.30,10.53,
9,breath,10.55,10.30,10.55,
9,breath,10.58,10.30,10.58,
9,lean,10.59,10.59,11.16,left
10,pulse,11.23,11.23,11.23,
10,pulse,11.23,11.23,11.23,
10,pulse,11.24,11.23,11.24,
10,pulse,11.25,11.23,11.25,
10,pulse,11.26,11.23,11.26,
10,pulse,11.26,11.23,11.26,
10,pulse,11.27,11.23,11.27,
10,pulse,11.28,11.23,11.28,
10,pulse,11.29,11.23,11.29,
10,pulse,11.30,11.23,11.30,
10,pulse,11.31,11.23,11.31,
10,pulse,11.32,11.23,11.32,
10,pulse,11.33,11.23,11.33,
10,pulse,11.33,11.23,11.33,
10,pulse,11.34,11.23,11.34,
10,pulse,11.36,11.23,11.36,
10,pulse,11.37,11.23,11.37,
10,pulse,11.38,11.23,11.38,
10,pulse,11.39,11.23,11.39,
10,pulse,11.40,11.23,11.40,
10,breath,11.45,11.45,11.45,
10,breath,11.48,11.45,11.48,
10,breath,11.55,11.45,11.55,
10,breath,11.57,11.45,11.57,
10,breath,12.00,11.45,12.00,
10,breath,12.03,11.45,12.03,
10,breath,12.06,11.45,12.06,
10,breath,12.09,11.45,12.09,
10,breath,12.12,11.45,12.12,
10,lean,12.14,12.14,12.45,left
11,pulse,12.53,12.53,12.53,
11,pulse,12.54,12.53,12.54,
11,pulse,12.54,12.53,12.54,
11,pulse,12.55,12.53,12.55,
