Marker,Time for Heart,Heart,Time for Pulse,Pulse,Time for Breath,Breath,lean_direction,Start,End
1,0:36,78,0:36,76,1:15,18,left,1:18,1:48
2,2:11,86,2:11,80,2:48,18,left,2:53,3:21
3,3:43,76,3:43,68,4:22,22,left,4:25,4:55
4,5:19,81,5:19,76,5:56,18,left,5:59,6:30
5,6:54,80,6:54,80,7:30,18,left,7:34,8:05
6,8:26,81,8:26,76,9:03,14,left,9:06,9:36
7,10:00,78,10:00,76,10:39,20,left,10:43,11:13
8,11:38,81,11:38,80,12:14,18,left,12:17,12:47
9,13:08,79,13:08,72,13:46,16,left,13:51,14:20
10,36,78,36,72,1:15,16,left,1:19,1:49
11,2:14,83,2:14,72,2:50,18,left,2:59,3:29
12,3:51,82,3:51,72,4:28,18,left,4:31,5:02
13,5:25,82,5:25,80,6:00,18,left,6:04,6:35
14,6:57,78,6:57,80,7:34,18,left,7:39,8:11
15,8:32,79,8:32,60,9:12,18,left,9:15,
