Mark,Type,Timestamp,Start,End,Direction
1,pulse,00.01,00.01,00.01,
1,pulse,00.02,00.01,00.02,
1,pulse,00.03,00.01,00.03,
1,pulse,00.04,00.01,00.04,
1,pulse,00.05,00.01,00.05,
1,pulse,00.06,00.01,00.06,
1,pulse,00.07,00.01,00.07,
1,pulse,00.09,00.01,00.09,
1,pulse,00.10,00.01,00.10,
1,pulse,00.11,00.01,00.11,
1,breath,00.14,00.14,00.14,
1,breath,00.16,00.14,00.16,
1,breath,00.19,00.14,00.19,
1,breath,00.21,00.14,00.21,
1,breath,00.23,00.14,00.23,
1,breath,00.25,00.14,00.25,
1,breath,00.28,00.14,00.28,
1,breath,00.30,00.14,00.30,
1,breath,00.32,00.14,00.32,
1,breath,00.34,00.14,00.34,
2,pulse,00.41,00.01,00.41,
2,pulse,00.42,00.01,00.42,
2,pulse,00.43,00.01,00.43,
2,pulse,00.44,00.01,00.44,
2,pulse,00.45,00.01,00.45,
2,pulse,00.46,00.01,00.46,
2,pulse,00.47,00.01,00.47,
2,pulse,00.48,00.01,00.48,
2,pulse,00.49,00.01,00.49,
2,pulse,00.50,00.01,00.50,
2,breath,00.54,00.14,00.54,
2,breath,00.56,00.14,00.56,
2,breath,00.58,00.14,00.58,
2,breath,01.00,00.14,01.00,
2,breath,01.02,00.14,01.02,
2,breath,01.04,00.14,01.04,
2,breath,01.06,00.14,01.06,
2,breath,01.08,00.14,01.08,
2,breath,01.10,00.14,01.10,
2,breath,01.12,00.14,01.12,
3,pulse,01.20,00.01,01.20,
3,pulse,01.21,00.01,01.21,
3,pulse,01.23,00.01,01.23,
3,pulse,01.24,00.01,01.24,
3,pulse,01.25,00.01,01.25,
3,pulse,01.26,00.01,01.26,
3,pulse,01.28,00.01,01.28,
3,pulse,01.29,00.01,01.29,
3,pulse,01.30,00.01,01.30,
3,pulse,01.31,00.01,01.31,
3,breath,01.34,00.14,01.34,
3,breath,01.36,00.14,01.36,
3,breath,01.39,00.14,01.39,
3,breath,01.41,00.14,01.41,
3,breath,01.43,00.14,01.43,
3,breath,01.45,00.14,01.45,
3,breath,01.47,00.14,01.47,
3,breath,01.49,00.14,01.49,
3,breath,01.51,00.14,01.51,
3,breath,01.53,00.14,01.53,
4,pulse,01.59,00.01,01.59,
4,pulse,02.00,00.01,02.00,
4,pulse,02.01,00.01,02.01,
4,pulse,02.02,00.01,02.02,
4,pulse,02.04,00.01,02.04,
4,pulse,02.05,00.01,02.05,
4,pulse,02.07,00.01,02.07,
4,pulse,02.08,00.01,02.08,
4,pulse,02.09,00.01,02.09,
4,pulse,02.10,00.01,02.10,
4,breath,02.15,00.14,02.15,
4,breath,02.17,00.14,02.17,
4,breath,02.18,00.14,02.18,
4,breath,02.20,00.14,02.20,
4,breath,02.22,00.14,02.22,
4,breath,02.24,00.14,02.24,
4,breath,02.26,00.14,02.26,
4,breath,02.28,00.14,02.28,
4,breath,02.30,00.14,02.30,
4,breath,02.31,00.14,02.31,
5,pulse,02.36,00.01,02.36,
5,pulse,02.37,00.01,02.37,
5,pulse,02.38,00.01,02.38,
5,pulse,02.39,00.01,02.39,
5,pulse,02.40,00.01,02.40,
5,pulse,02.41,00.01,02.41,
5,pulse,02.42,00.01,02.42,
5,pulse,02.44,00.01,02.44,
5,pulse,02.45,00.01,02.45,
5,pulse,02.47,00.01,02.47,
